date,equity,daily_return,pnl_long,pnl_short,open_positions,longs_open,shorts_open,cum_return,running_max,drawdown
2023-04-03,50.87,0.0,0.0,0.0,4,0,4,0.0,50.87,0.0
2023-04-04,103.785,1.0402005111067427,0.0,0.0,10,0,10,1.0402005111067427,103.785,0.0
2023-04-05,165.89000000000001,0.5984005395770103,0.0,0.0,16,0,16,2.26105759779831,165.89000000000001,0.0
2023-04-06,213.60000000000002,0.28760021701127253,0.0,0.0,22,1,21,3.1989384706113633,213.60000000000002,0.0
2023-04-10,226.28000000000003,0.05936329588014984,0.0,0.0,24,1,23,3.4482012974248093,226.28000000000003,0.0
2023-04-11,251.38500000000005,0.11094661481350546,0.0,0.0,29,2,27,3.9417141733831347,251.38500000000005,0.0
2023-04-12,311.125,0.23764345525787114,0.0,0.0,33,2,31,5.116080204442698,311.125,0.0
2023-04-13,337.00499999999994,0.08318200080353536,0.0,7.1299999999999955,32,3,29,5.624827992923136,337.00499999999994,0.0
2023-04-14,536.2749999999999,0.591296865031676,0.0,6.729999999999995,46,4,42,9.542068016512678,536.2749999999999,0.0
2023-04-17,524.1799999999998,-0.0225537270989698,0.0,11.419999999999996,48,6,42,9.304305091409473,536.2749999999999,-0.0225537270989698
2023-04-18,458.9199999999999,-0.12449921782593756,-0.01999999999999993,7.1149999999999975,52,11,41,8.021427167289167,536.2749999999999,-0.14424502354202598
2023-04-19,492.5949999999999,0.07337880240564808,0.0,1.0549999999999993,57,13,44,8.683408688814625,536.2749999999999,-0.08145074821686628
2023-04-20,572.5399999999998,0.1622935677382027,-0.10000000000000009,1.1400000000000001,59,13,46,10.254963632789462,572.5399999999998,0.0
2023-04-21,747.4899999999999,0.3055681699095261,0.0,10.959999999999997,69,13,56,13.694122272459209,747.4899999999999,0.0
2023-04-24,794.0349999999999,0.06226839155038859,-1.6649999999999991,3.5999999999999996,71,12,59,14.609101631609985,794.0349999999999,0.0
2023-04-25,811.6199999999997,0.022146378937955898,-0.6999999999999988,12.094999999999992,57,13,44,14.954786711224685,811.6199999999997,0.0
2023-04-26,858.5199999999998,0.05778566324141853,-20.09999999999999,-5.98,58,12,46,15.876744643208173,858.5199999999998,0.0
2023-04-27,900.1199999999997,0.04845548152634758,-16.945000000000007,-0.45499999999999774,54,6,48,16.694515431492032,900.1199999999997,0.0
2023-04-28,1096.4849999999997,0.21815424610052003,3.269999999999995,5.0799999999999965,69,7,62,20.554649105563193,1096.4849999999997,0.0
2023-05-01,1071.795,-0.022517407898876508,-0.7999999999999989,6.699999999999999,66,10,56,20.069294279536074,1096.4849999999997,-0.022517407898876508
2023-05-02,1045.7050000000002,-0.02434234158584423,0.0,0.3049999999999957,56,12,44,19.556418321210934,1096.4849999999997,-0.0463116230500185
2023-05-03,999.4050000000002,-0.044276349448458166,0.0,-5.240000000000004,56,17,39,18.64625516021231,1096.4849999999997,-0.08853746289278877
2023-05-04,944.2400000000002,-0.05519784271641622,-2.34,0.6749999999999992,56,19,37,17.56182425791233,1096.4849999999997,-0.1388482286579383
2023-05-05,926.6150000000001,-0.018665805303736453,-0.08999999999999977,-0.19499999999999862,54,24,30,17.215352860231967,1096.4849999999997,-0.154922319958777
2023-05-08,898.5300000000001,-0.030309243860718888,0.0,-2.0800000000000027,52,28,24,16.663259288382154,1096.4849999999997,-0.180535985444397
2023-05-09,877.64,-0.023249084615983993,0.43999999999999995,21.689999999999994,34,29,5,16.25260467859249,1096.4849999999997,-0.19958777365855415
2023-05-10,824.335,-0.06073674855293737,-0.769999999999998,0.0,38,33,5,15.204737566345589,1096.4849999999997,-0.24820220978855134
2023-05-11,785.9999999999999,-0.04650415183147646,-2.7899999999999983,0.3449999999999999,40,37,3,14.451149990171023,1096.4849999999997,-0.28316392837111304
