permno,date,ret,prc,vol,shrout,cfacpr,cfacshr,ticker,adj_prc,adj_ret,adj_vol,adj_shrout,mktcap
14593,2018-01-02,0.017905,172.25999,25555934.0,5087056.0,4.0,4.0,AAPL,43.0649975,0.017905,25555934.0,20348224.0,876296215.6894399
14593,2018-01-03,-0.000174,172.23,29517900.0,5087056.0,4.0,4.0,AAPL,43.0575,-0.000174,29517900.0,20348224.0,876143654.88
14593,2018-01-04,0.004645,173.03,22434597.0,5087056.0,4.0,4.0,AAPL,43.2575,0.004645,22434597.0,20348224.0,880213299.68
14593,2018-01-05,0.011385,175.0,23660018.0,5087056.0,4.0,4.0,AAPL,43.75,0.011385,23660018.0,20348224.0,890234800.0
14593,2018-01-08,-0.003714,174.35001,20567766.0,5087056.0,4.0,4.0,AAPL,43.5875025,-0.003714,20567766.0,20348224.0,886928264.47056
14593,2018-01-09,-0.000115,174.33,21584957.0,5087056.0,4.0,4.0,AAPL,43.5825,-0.000115,21584957.0,20348224.0,886826472.48
14593,2018-01-10,-0.000229,174.28999,23970095.0,5087056.0,4.0,4.0,AAPL,43.5724975,-0.000229,23970095.0,20348224.0,886622939.36944
14593,2018-01-11,0.00568,175.28,18667729.0,5087056.0,4.0,4.0,AAPL,43.82,0.00568,18667729.0,20348224.0,891659175.68
14593,2018-01-12,0.010326,177.09,25415580.0,5087056.0,4.0,4.0,AAPL,44.2725,0.010326,25415580.0,20348224.0,900866747.04
14593,2018-01-16,-0.005082,176.19,29599936.0,5087056.0,4.0,4.0,AAPL,44.0475,-0.005082,29599936.0,20348224.0,896288396.64
14593,2018-01-17,0.016516,179.10001,34387136.0,5087056.0,4.0,4.0,AAPL,44.7750025,0.016516,34387136.0,20348224.0,911091780.47056
14593,2018-01-18,0.000893,179.25999,31193352.0,5087056.0,4.0,4.0,AAPL,44.8149975,0.000893,31193352.0,20348224.0,911905607.68944
14593,2018-01-19,-0.004463,178.46001,32429767.0,5074013.0,4.0,4.0,AAPL,44.6150025,-0.004463,32429767.0,20296052.0,905508410.72013
14593,2018-01-22,-0.008181,177.0,27109541.0,5074013.0,4.0,4.0,AAPL,44.25,-0.008181,27109541.0,20296052.0,898100301.0
14593,2018-01-23,0.000226,177.03999,32689142.0,5074013.0,4.0,4.0,AAPL,44.2599975,0.000226,32689142.0,20296052.0,898303210.7798699
14593,2018-01-24,-0.015929,174.22,51114372.0,5074013.0,4.0,4.0,AAPL,43.555,-0.015929,51114372.0,20296052.0,883994544.86
14593,2018-01-25,-0.017851,171.11,41528087.0,5074013.0,4.0,4.0,AAPL,42.7775,-0.017851,41528087.0,20296052.0,868214364.4300001
14593,2018-01-26,0.002338,171.50999,39142861.0,5074013.0,4.0,4.0,AAPL,42.8774975,0.002338,39142861.0,20296052.0,870243918.8898699
14593,2018-01-29,-0.020698,167.96001,50649512.0,5074013.0,4.0,4.0,AAPL,41.9900025,-0.020698,50649512.0,20296052.0,852231274.2201301
14593,2018-01-30,-0.005894,166.97,46054075.0,5074013.0,4.0,4.0,AAPL,41.7425,-0.005894,46054075.0,20296052.0,847207950.61
14593,2018-01-31,0.002755,167.42999,32480017.0,5074013.0,4.0,4.0,AAPL,41.8574975,0.002755,32480017.0,20296052.0,849541945.84987
14593,2018-02-01,0.00209,167.78,47231571.0,5074013.0,4.0,4.0,AAPL,41.945,0.00209,47231571.0,20296052.0,851317901.14
14593,2018-02-02,-0.04339,160.5,86594027.0,5074013.0,4.0,4.0,AAPL,40.125,-0.04339,86594027.0,20296052.0,814379086.5
14593,2018-02-05,-0.024984,156.49001,72762180.0,5074013.0,4.0,4.0,AAPL,39.1225025,-0.024984,72762180.0,20296052.0,794032345.1101301
14593,2018-02-06,0.041792,163.03,68243731.0,5074013.0,4.0,4.0,AAPL,40.7575,0.041792,68243731.0,20296052.0,827216339.39
14593,2018-02-07,-0.021407,159.53999,52358204.0,5074013.0,4.0,4.0,AAPL,39.8849975,-0.021407,52358204.0,20296052.0,809507983.2798699
14593,2018-02-08,-0.027517,155.14999,56390381.0,5074013.0,4.0,4.0,AAPL,38.7874975,-0.027517,56390381.0,20296052.0,787233066.20987
14593,2018-02-09,0.012182,156.41,71499574.0,5074013.0,4.0,4.0,AAPL,39.1025,0.012182,71499574.0,20296052.0,793626373.3299999
14593,2018-02-12,0.040279,162.71001,61819638.0,5074013.0,4.0,4.0,AAPL,40.6775025,0.040279,61819638.0,20296052.0,825592705.9701301
14593,2018-02-13,0.010018,164.34,32567631.0,5074013.0,4.0,4.0,AAPL,41.085,0.010018,32567631.0,20296052.0,833863296.4200001
14593,2018-02-14,0.018437,167.37,40644933.0,5074013.0,4.0,4.0,AAPL,41.8425,0.018437,40644933.0,20296052.0,849237555.8100001
14593,2018-02-15,0.033578,172.99001,51206372.0,5074013.0,4.0,4.0,AAPL,43.2475025,0.033578,51206372.0,20296052.0,877753559.6101301
14593,2018-02-16,-0.003237,172.42999,40176067.0,5074013.0,4.0,4.0,AAPL,43.1074975,-0.003237,40176067.0,20296052.0,874912010.84987
14593,2018-02-20,-0.003364,171.85001,33932378.0,5074013.0,4.0,4.0,AAPL,42.9625025,-0.003364,33932378.0,20296052.0,871969184.79013
14593,2018-02-21,-0.004539,171.07001,37472728.0,5074013.0,4.0,4.0,AAPL,42.7675025,-0.004539,37472728.0,20296052.0,868011454.65013
14593,2018-02-22,0.008359,172.5,31010840.0,5074013.0,4.0,4.0,AAPL,43.125,0.008359,31010840.0,20296052.0,875267242.5
14593,2018-02-23,0.017391,175.5,33812360.0,5074013.0,4.0,4.0,AAPL,43.875,0.017391,33812360.0,20296052.0,890489281.5
14593,2018-02-26,0.019772,178.97,38172285.0,5074013.0,4.0,4.0,AAPL,44.7425,0.019772,38172285.0,20296052.0,908096106.61
14593,2018-02-27,-0.003241,178.39,38935123.0,5074013.0,4.0,4.0,AAPL,44.5975,-0.003241,38935123.0,20296052.0,905153179.07
14593,2018-02-28,-0.001514,178.12,37782135.0,5074013.0,4.0,4.0,AAPL,44.53,-0.001514,37782135.0,20296052.0,903783195.56
14593,2018-03-01,-0.017516,175.0,48802761.0,5074013.0,4.0,4.0,AAPL,43.75,-0.017516,48802761.0,20296052.0,887952275.0
14593,2018-03-02,0.006914,176.21001,38453839.0,5074013.0,4.0,4.0,AAPL,44.0525025,0.006914,38453839.0,20296052.0,894091881.4701301
14593,2018-03-05,0.003462,176.82001,28406363.0,5074013.0,4.0,4.0,AAPL,44.2050025,0.003462,28406363.0,20296052.0,897187029.40013
