PERMNO,date,TICKER,COMNAM,CFACPR
14813,2018-01-02,MARA,MARATHON PATENT GROUP INC,0.25
14813,2018-01-03,MARA,MARATHON PATENT GROUP INC,0.25
14813,2018-01-04,MARA,MARATHON PATENT GROUP INC,0.25
14813,2018-01-05,MARA,MARATHON PATENT GROUP INC,0.25
14813,2018-01-08,MARA,MARATHON PATENT GROUP INC,0.25
14813,2018-01-09,MARA,MARATHON PATENT GROUP INC,0.25
14813,2018-01-10,MARA,MARATHON PATENT GROUP INC,0.25
14813,2018-01-11,MARA,MARATHON PATENT GROUP INC,0.25
14813,2018-01-12,MARA,MARATHON PATENT GROUP INC,0.25
14813,2018-01-16,MARA,MARATHON PATENT GROUP INC,0.25
14813,2018-01-17,MARA,MARATHON PATENT GROUP INC,0.25
14813,2018-01-18,MARA,MARATHON PATENT GROUP INC,0.25
14813,2018-01-19,MARA,MARATHON PATENT GROUP INC,0.25
14813,2018-01-22,MARA,MARATHON PATENT GROUP INC,0.25
14813,2018-01-23,MARA,MARATHON PATENT GROUP INC,0.25
14813,2018-01-24,MARA,MARATHON PATENT GROUP INC,0.25
14813,2018-01-25,MARA,MARATHON PATENT GROUP INC,0.25
14813,2018-01-26,MARA,MARATHON PATENT GROUP INC,0.25
14813,2018-01-29,MARA,MARATHON PATENT GROUP INC,0.25
14813,2018-01-30,MARA,MARATHON PATENT GROUP INC,0.25
14813,2018-01-31,MARA,MARATHON PATENT GROUP INC,0.25
14813,2018-02-01,MARA,MARATHON PATENT GROUP INC,0.25
14813,2018-02-02,MARA,MARATHON PATENT GROUP INC,0.25
14813,2018-02-05,MARA,MARATHON PATENT GROUP INC,0.25
14813,2018-02-06,MARA,MARATHON PATENT GROUP INC,0.25
14813,2018-02-07,MARA,MARATHON PATENT GROUP INC,0.25
14813,2018-02-08,MARA,MARATHON PATENT GROUP INC,0.25
14813,2018-02-09,MARA,MARATHON PATENT GROUP INC,0.25
14813,2018-02-12,MARA,MARATHON PATENT GROUP INC,0.25
14813,2018-02-13,MARA,MARATHON PATENT GROUP INC,0.25
14813,2018-02-14,MARA,MARATHON PATENT GROUP INC,0.25
14813,2018-02-15,MARA,MARATHON PATENT GROUP INC,0.25
14813,2018-02-16,MARA,MARATHON PATENT GROUP INC,0.25
14813,2018-02-20,MARA,MARATHON PATENT GROUP INC,0.25
14813,2018-02-21,MARA,MARATHON PATENT GROUP INC,0.25
14813,2018-02-22,MARA,MARATHON PATENT GROUP INC,0.25
14813,2018-02-23,MARA,MARATHON PATENT GROUP INC,0.25
14813,2018-02-26,MARA,MARATHON PATENT GROUP INC,0.25
14813,2018-02-27,MARA,MARATHON PATENT GROUP INC,0.25
14813,2018-02-28,MARA,MARATHON PATENT GROUP INC,0.25
14813,2018-03-01,MARA,MARATHON PATENT GROUP INC,0.25
14813,2018-03-02,MARA,MARATHON PATENT GROUP INC,0.25
14813,2018-03-05,MARA,MARATHON PATENT GROUP INC,0.25
14813,2018-03-06,MARA,MARATHON PATENT GROUP INC,0.25
14813,2018-03-07,MARA,MARATHON PATENT GROUP INC,0.25
14813,2018-03-08,MARA,MARATHON PATENT GROUP INC,0.25
14813,2018-03-09,MARA,MARATHON PATENT GROUP INC,0.25
14813,2018-03-12,MARA,MARATHON PATENT GROUP INC,0.25
14813,2018-03-13,MARA,MARATHON PATENT GROUP INC,0.25
14813,2018-03-14,MARA,MARATHON PATENT GROUP INC,0.25
14813,2018-03-15,MARA,MARATHON PATENT GROUP INC,0.25
14813,2018-03-16,MARA,MARATHON PATENT GROUP INC,0.25
14813,2018-03-19,MARA,MARATHON PATENT GROUP INC,0.25
14813,2018-03-20,MARA,MARATHON PATENT GROUP INC,0.25
14813,2018-03-21,MARA,MARATHON PATENT GROUP INC,0.25
14813,2018-03-22,MARA,MARATHON PATENT GROUP INC,0.25
14813,2018-03-23,MARA,MARATHON PATENT GROUP INC,0.25
14813,2018-03-26,MARA,MARATHON PATENT GROUP INC,0.25
14813,2018-03-27,MARA,MARATHON PATENT GROUP INC,0.25
14813,2018-03-28,MARA,MARATHON PATENT GROUP INC,0.25
14813,2018-03-29,MARA,MARATHON PATENT GROUP INC,0.25
14813,2018-04-02,MARA,MARATHON PATENT GROUP INC,0.25
14813,2018-04-03,MARA,MARATHON PATENT GROUP INC,0.25
14813,2018-04-04,MARA,MARATHON PATENT GROUP INC,0.25
14813,2018-04-05,MARA,MARATHON PATENT GROUP INC,0.25
14813,2018-04-06,MARA,MARATHON PATENT GROUP INC,0.25
14813,2018-04-09,MARA,MARATHON PATENT GROUP INC,0.25
14813,2018-04-10,MARA,MARATHON PATENT GROUP INC,0.25
14813,2018-04-11,MARA,MARATHON PATENT GROUP INC,0.25
14813,2018-04-12,MARA,MARATHON PATENT GROUP INC,0.25
14813,2018-04-13,MARA,MARATHON PATENT GROUP INC,0.25
14813,2018-04-16,MARA,MARATHON PATENT GROUP INC,0.25
14813,2018-04-17,MARA,MARATHON PATENT GROUP INC,0.25
14813,2018-04-18,MARA,MARATHON PATENT GROUP INC,0.25
14813,2018-04-19,MARA,MARATHON PATENT GROUP INC,0.25
14813,2018-04-20,MARA,MARATHON PATENT GROUP INC,0.25
14813,2018-04-23,MARA,MARATHON PATENT GROUP INC,0.25
14813,2018-04-24,MARA,MARATHON PATENT GROUP INC,0.25
14813,2018-04-25,MARA,MARATHON PATENT GROUP INC,0.25
14813,2018-04-26,MARA,MARATHON PATENT GROUP INC,0.25
14813,2018-04-27,MARA,MARATHON PATENT GROUP INC,0.25
14813,2018-04-30,MARA,MARATHON PATENT GROUP INC,0.25
14813,2018-05-01,MARA,MARATHON PATENT GROUP INC,0.25
14813,2018-05-02,MARA,MARATHON PATENT GROUP INC,0.25
14813,2018-05-03,MARA,MARATHON PATENT GROUP INC,0.25
14813,2018-05-04,MARA,MARATHON PATENT GROUP INC,0.25
14813,2018-05-07,MARA,MARATHON PATENT GROUP INC,0.25
14813,2018-05-08,MARA,MARATHON PATENT GROUP INC,0.25
14813,2018-05-09,MARA,MARATHON PATENT GROUP INC,0.25
