permno,date,cfacpr,ticker,open_price,close_price,adj_prc,adj_ret
14593,2018-01-02,4.0,AAPL,42.540000915527344,43.064998626708984,43.064998626708984,
14593,2018-01-03,4.0,AAPL,43.13249969482422,43.057498931884766,43.057498931884766,-0.00017414826572337283
14593,2018-01-04,4.0,AAPL,43.1349983215332,43.25749969482422,43.25749969482422,0.004644969352628925
14593,2018-01-05,4.0,AAPL,43.36000061035156,43.75,43.75,0.01138531604115589
14593,2018-01-08,4.0,AAPL,43.587501525878906,43.587501525878906,43.587501525878906,-0.0037142508370535676
14593,2018-01-09,4.0,AAPL,43.63750076293945,43.58250045776367,43.58250045776367,-0.0001147362877008673
14593,2018-01-10,4.0,AAPL,43.290000915527344,43.5724983215332,43.5724983215332,-0.00022949890725432187
14593,2018-01-11,4.0,AAPL,43.647499084472656,43.81999969482422,43.81999969482422,0.00568021992828216
14593,2018-01-12,4.0,AAPL,44.04499816894531,44.272499084472656,44.272499084472656,0.01032632115015475
14593,2018-01-16,4.0,AAPL,44.474998474121094,44.04750061035156,44.04750061035156,-0.0050821272522202365
14593,2018-01-17,4.0,AAPL,44.037498474121094,44.775001525878906,44.775001525878906,0.01651628141089967
14593,2018-01-18,4.0,AAPL,44.842498779296875,44.814998626708984,44.814998626708984,0.0008932908870358247
14593,2018-01-19,4.0,AAPL,44.65250015258789,44.6150016784668,44.6150016784668,-0.0044627235160282774
14593,2018-01-22,4.0,AAPL,44.32500076293945,44.25,44.25,-0.008181142322873924
14593,2018-01-23,4.0,AAPL,44.32500076293945,44.2599983215332,44.2599983215332,0.0002259507691120266
14593,2018-01-24,4.0,AAPL,44.3125,43.55500030517578,43.55500030517578,-0.015928559491481753
14593,2018-01-25,4.0,AAPL,43.627498626708984,42.77750015258789,42.77750015258789,-0.017850996375621597
14593,2018-01-26,4.0,AAPL,43.0,42.877498626708984,42.877498626708984,0.002337641838920046
14593,2018-01-29,4.0,AAPL,42.540000915527344,41.9900016784668,41.9900016784668,-0.020698431034159137
14593,2018-01-30,4.0,AAPL,41.38249969482422,41.74250030517578,41.74250030517578,-0.005894293007802864
14593,2018-01-31,4.0,AAPL,41.717498779296875,41.85749816894531,41.85749816894531,0.0027549347290840576
14593,2018-02-01,4.0,AAPL,41.79249954223633,41.94499969482422,41.94499969482422,0.0020904623951898404
14593,2018-02-02,4.0,AAPL,41.5,40.125,40.125,-0.043390146812870234
14593,2018-02-05,4.0,AAPL,39.775001525878906,39.122501373291016,39.122501373291016,-0.024984389450691147
14593,2018-02-06,4.0,AAPL,38.70750045776367,40.75749969482422,40.75749969482422,0.04179176341340529
14593,2018-02-07,4.0,AAPL,40.772499084472656,39.8849983215332,39.8849983215332,-0.021407136841659957
14593,2018-02-08,4.0,AAPL,40.0724983215332,38.787498474121094,38.787498474121094,-0.027516607586757447
14593,2018-02-09,4.0,AAPL,39.26750183105469,39.102500915527344,39.102500915527344,0.008121236320935088
14593,2018-02-12,4.0,AAPL,39.625,40.6775016784668,40.6775016784668,0.04027877312353767
14593,2018-02-13,4.0,AAPL,40.48749923706055,41.084999084472656,41.084999084472656,0.0100177589377759
14593,2018-02-14,4.0,AAPL,40.7599983215332,41.842498779296875,41.842498779296875,0.0184373788902068
14593,2018-02-15,4.0,AAPL,42.4474983215332,43.247501373291016,43.247501373291016,0.03357836254964108
14593,2018-02-16,4.0,AAPL,43.09000015258789,43.10749816894531,43.10749816894531,-0.003237255330366118
