date,equity,reserved,free,realized_profit,daily_return,open_positions,cum_return,running_max,drawdown
2023-04-03,4.0,4.0,0.0,0.0,0.0,4,0.0,4.0,0.0
2023-04-04,4.0,4.0,0.0,0.0,0.0,4,0.0,4.0,0.0
2023-04-05,4.0,4.0,0.0,0.0,0.0,4,0.0,4.0,0.0
2023-04-06,4.0,4.0,0.0,0.0,0.0,4,0.0,4.0,0.0
2023-04-10,4.0,4.0,0.0,0.0,0.0,4,0.0,4.0,0.0
2023-04-11,4.0,4.0,0.0,0.0,0.0,4,0.0,4.0,0.0
2023-04-12,4.0,4.0,0.0,0.0,0.0,4,0.0,4.0,0.0
2023-04-13,4.591005627784533,3.0,1.5910056277845328,0.591005627784533,0.1477514069461332,3,0.1477514069461332,4.591005627784533,0.0
2023-04-14,4.591005627784533,4.591005627784536,0.0,0.0,0.0,23,0.1477514069461332,4.591005627784533,0.0
2023-04-17,4.591005627784533,4.591005627784536,0.0,0.0,0.0,23,0.1477514069461332,4.591005627784533,0.0
2023-04-18,4.591005627784533,4.591005627784536,0.0,0.0,0.0,23,0.1477514069461332,4.591005627784533,0.0
2023-04-19,4.591005627784533,4.591005627784536,0.0,0.0,0.0,23,0.1477514069461332,4.591005627784533,0.0
2023-04-20,4.591005627784533,4.591005627784536,0.0,0.0,0.0,23,0.1477514069461332,4.591005627784533,0.0
2023-04-21,4.591005627784533,4.591005627784536,0.0,0.0,0.0,23,0.1477514069461332,4.591005627784533,0.0
2023-04-24,4.6970572109480795,4.6970572109480795,0.0,0.10605158316354642,0.0230998591074966,25,0.17426430273701987,4.6970572109480795,0.0
2023-04-25,4.661193372747902,4.661193372747902,0.0,-0.03586383820017803,-0.0076353845800696,11,0.16529834318697545,4.6970572109480795,-0.0076353845800696
2023-04-26,4.661193372747902,4.661193372747902,0.0,0.0,0.0,11,0.16529834318697545,4.6970572109480795,-0.0076353845800696
2023-04-27,4.661193372747902,4.661193372747902,0.0,0.0,0.0,11,0.16529834318697545,4.6970572109480795,-0.0076353845800696
2023-04-28,4.661193372747902,4.661193372747902,0.0,0.0,0.0,11,0.16529834318697545,4.6970572109480795,-0.0076353845800696
2023-05-01,4.661193372747902,4.661193372747902,0.0,0.0,0.0,11,0.16529834318697545,4.6970572109480795,-0.0076353845800696
2023-05-02,4.661193372747902,4.661193372747902,0.0,0.0,0.0,11,0.16529834318697545,4.6970572109480795,-0.0076353845800696
2023-05-03,4.673627284753185,4.673627284753185,0.0,0.012433912005283668,0.002667538334277108,11,0.1684068211882963,4.6970572109480795,-0.004988213926856776
2023-05-04,4.676155796317635,4.676155796317635,0.0,0.0025285115644493477,0.0005410169468793793,11,0.16903894907940864,4.6970572109480795,-0.004449895688246486
2023-05-05,4.676155796317635,4.676155796317635,0.0,0.0,0.0,11,0.16903894907940864,4.6970572109480795,-0.004449895688246486
2023-05-08,4.676155796317635,4.676155796317635,0.0,0.0,0.0,11,0.16903894907940864,4.6970572109480795,-0.004449895688246486
2023-05-09,4.676155796317635,4.676155796317635,0.0,0.0,0.0,11,0.16903894907940864,4.6970572109480795,-0.004449895688246486
2023-05-10,4.676155796317635,4.676155796317635,0.0,0.0,0.0,11,0.16903894907940864,4.6970572109480795,-0.004449895688246486
2023-05-11,4.676155796317635,4.676155796317635,0.0,0.0,0.0,11,0.16903894907940864,4.6970572109480795,-0.004449895688246486
2023-05-12,4.898508393619444,4.898508393619444,0.0,0.22235259730180937,0.04755029707883284,14,0.22462709840486106,4.898508393619444,0.0
2023-05-15,5.227866921665198,5.227866921665196,1.7763568394002505e-15,0.3293585280457536,0.06723649355684683,17,0.3069667304162995,5.227866921665198,0.0
2023-05-16,5.227866921665198,5.227866921665196,1.7763568394002505e-15,0.0,0.0,27,0.3069667304162995,5.227866921665198,0.0
2023-05-17,5.227866921665198,5.227866921665196,1.7763568394002505e-15,0.0,0.0,33,0.3069667304162995,5.227866921665198,0.0
2023-05-18,5.227866921665198,5.227866921665196,1.7763568394002505e-15,0.0,0.0,40,0.3069667304162995,5.227866921665198,0.0
