date,equity,daily_return,pnl_long,pnl_short,cum_invest_long,cum_invest_short,cum_invest_total,return_over_inv,cum_pnl_long,cum_pnl_short,open_positions,longs_open,shorts_open,cum_return,running_max,drawdown
2023-04-03,50.87,0.0,0.0,0.0,0.0,50.87,50.87,0.0,0.0,0.0,4,0,4,0.0,50.87,0.0
2023-04-04,103.785,1.0402005111067427,0.0,0.0,0.0,103.785,103.785,0.0,0.0,0.0,10,0,10,0.0,103.785,0.0
2023-04-05,165.89000000000001,0.5984005395770103,0.0,0.0,0.0,165.89000000000001,165.89000000000001,0.0,0.0,0.0,16,0,16,0.0,165.89000000000001,0.0
2023-04-06,213.60000000000002,0.28760021701127253,0.0,0.0,0.95,214.55,215.5,0.0,0.0,0.0,22,1,21,0.0,213.60000000000002,0.0
2023-04-10,226.28000000000003,0.05936329588014984,0.0,0.0,0.95,227.23000000000002,228.18,0.0,0.0,0.0,24,1,23,0.0,226.28000000000003,0.0
2023-04-11,251.38500000000005,0.11094661481350546,0.0,0.0,1.96,253.34500000000003,255.30500000000004,0.0,0.0,0.0,29,2,27,0.0,251.38500000000005,0.0
2023-04-12,311.125,0.23764345525787114,0.0,0.0,1.96,313.085,315.04499999999996,0.0,0.0,0.0,33,2,31,0.0,311.125,0.0
2023-04-13,337.00499999999994,0.08318200080353536,0.0,7.1299999999999955,12.335,342.21,354.54499999999996,0.020110282192669467,0.0,7.1299999999999955,32,3,29,7.1299999999999955,337.00499999999994,0.0
2023-04-14,536.2749999999999,0.591296865031676,0.0,6.729999999999995,23.285,545.6999999999999,568.9849999999999,0.024359165883107627,0.0,13.85999999999999,46,4,42,13.85999999999999,536.2749999999999,0.0
2023-04-17,524.1799999999998,-0.0225537270989698,0.0,11.419999999999996,89.41,588.31,677.7199999999999,0.03730154045918667,0.0,25.279999999999987,48,6,42,25.279999999999987,536.2749999999999,-0.0225537270989698
2023-04-18,458.9199999999999,-0.12449921782593756,-0.01999999999999993,7.1149999999999975,184.655,611.1999999999999,795.8549999999999,0.04067952076697386,-0.01999999999999993,32.39499999999998,52,11,41,32.37499999999998,536.2749999999999,-0.14424502354202598
2023-04-19,492.5949999999999,0.07337880240564808,0.0,1.0549999999999993,210.03,669.1949999999999,879.2249999999999,0.038022121754954626,-0.01999999999999993,33.44999999999998,57,13,44,33.42999999999998,536.2749999999999,-0.08145074821686628
2023-04-20,572.5399999999998,0.1622935677382027,-0.10000000000000009,1.1400000000000001,219.655,757.7249999999999,977.3799999999999,0.035267756655548495,-0.12000000000000002,34.58999999999998,59,13,46,34.469999999999985,572.5399999999998,0.0
2023-04-21,747.4899999999999,0.3055681699095261,0.0,10.959999999999997,219.655,921.7149999999998,1141.37,0.03980304371062845,-0.12000000000000002,45.54999999999998,69,13,56,45.429999999999986,747.4899999999999,0.0
2023-04-24,794.0349999999999,0.06226839155038859,-1.6649999999999991,3.5999999999999996,219.655,966.3249999999997,1185.9799999999998,0.03993743570717887,-1.7849999999999993,49.149999999999984,71,12,59,47.36499999999999,794.0349999999999,0.0
2023-04-25,811.6199999999997,0.022146378937955898,-0.6999999999999988,12.094999999999992,229.32999999999998,982.1899999999996,1211.5199999999995,0.04850105652403592,-2.484999999999998,61.244999999999976,57,13,44,58.75999999999998,811.6199999999997,0.0
2023-04-26,858.5199999999998,0.05778566324141853,-20.09999999999999,-5.98,230.48,1056.3199999999997,1286.7999999999997,0.02539633198632265,-22.58499999999999,55.26499999999997,58,12,46,32.67999999999998,858.5199999999998,0.0
