train_period,val_period,ticker,date,exit_date,exdate,strike,r_long,r_hat,delta_long,delta_short,signal,signal_num,entry_premium,exit_premium,entry_date,trade_profit,trade_cost,trade_return,strike_key,call_exit_premium,put_exit_premium
2023-01 -> 2023-03,2023-04,RIVN,2023-04-14,2023-04-25,2023-05-19,12.5,-0.207142857142857,-0.009761830557481,0.2123364588825427,0.0084934583553017,short,-1,2.8,2.22,2023-04-14,0.5799999999999996,2.8,0.207142857142857,12.5,0.88,1.34
2023-01 -> 2023-03,2023-04,AMD,2023-04-14,2023-04-25,2023-05-19,90.0,-0.0639269406392693,0.4130664020935397,0.2123364588825427,0.0084934583553017,long,1,10.95,10.25,2023-04-14,-0.6999999999999993,10.95,-0.0639269406392693,90.0,2.2,8.05
2023-01 -> 2023-03,2023-04,AMZN,2023-04-14,2023-04-25,2023-05-19,105.0,-0.0358851674641148,-0.1347388151657119,0.2123364588825427,0.0084934583553017,short,-1,10.45,10.075,2023-04-14,0.375,10.45,0.0358851674641148,105.0,4.025,6.05
2023-01 -> 2023-03,2023-04,SOFI,2023-04-17,2023-04-26,2023-05-19,6.0,-0.0547263681592039,-0.0557271708414528,0.2123364588825427,0.0084934583553017,short,-1,1.005,0.95,2023-04-17,0.0549999999999999,1.005,0.0547263681592039,6.0,0.325,0.625
2023-01 -> 2023-03,2023-04,AMZN,2023-04-17,2023-04-26,2023-05-19,105.0,0.004950495049505,-0.1499848057390695,0.2123364588825427,0.0084934583553017,short,-1,10.1,10.15,2023-04-17,-0.0500000000000007,10.1,-0.004950495049505,105.0,5.275,4.875
2023-01 -> 2023-03,2023-04,NFLX,2023-04-17,2023-04-26,2023-05-19,335.0,-0.4096310193871168,0.2532637076616914,0.2123364588825427,0.0084934583553017,long,1,39.974999999999994,23.6,2023-04-17,-16.374999999999993,39.974999999999994,-0.4096310193871168,335.0,5.675,17.925
2023-01 -> 2023-03,2023-04,BABA,2023-04-17,2023-04-26,2023-05-19,95.0,0.3228070175438595,-0.1187252983771752,0.2123364588825427,0.0084934583553017,short,-1,9.975,13.195,2023-04-17,-3.2200000000000006,9.975,-0.3228070175438597,95.0,0.6699999999999999,12.525
2023-01 -> 2023-03,2023-04,NIO,2023-04-17,2023-04-26,2023-05-19,10.0,0.6038961038961037,-0.1080041567559938,0.2123364588825427,0.0084934583553017,short,-1,1.54,2.47,2023-04-17,-0.9299999999999996,1.54,-0.6038961038961037,10.0,0.08499999999999999,2.385
2023-01 -> 2023-03,2023-04,NVDA,2023-04-17,2023-04-26,2023-05-19,27.0,-0.1424474187380496,0.2456435821985806,0.2123364588825427,0.0084934583553017,long,1,26.15,22.425,2023-04-17,-3.724999999999998,26.15,-0.1424474187380496,27.0,,
2023-01 -> 2023-03,2023-04,COIN,2023-04-17,2023-04-26,2023-05-19,70.0,0.1294294294294295,-0.0499361765942977,0.2123364588825427,0.0084934583553017,short,-1,16.65,18.805,2023-04-17,-2.155000000000001,16.65,-0.1294294294294295,70.0,1.38,17.425
2023-01 -> 2023-03,2023-04,MARA,2023-04-17,2023-04-26,2023-05-19,11.0,-0.095808383233533,-0.1794069400088076,0.2123364588825427,0.0084934583553017,short,-1,3.34,3.0199999999999996,2023-04-17,0.3200000000000003,3.34,0.095808383233533,11.0,0.72,2.3
2023-01 -> 2023-03,2023-04,NFLX,2023-04-18,2023-04-27,2023-05-19,335.0,-0.4601769911504424,0.304814549254058,0.2123364588825427,0.0084934583553017,long,1,39.55,21.35,2023-04-18,-18.199999999999996,39.55,-0.4601769911504424,335.0,6.475,14.875
2023-01 -> 2023-03,2023-04,META,2023-04-18,2023-04-27,2023-05-19,220.0,-0.0502057613168725,0.2450544199456043,0.2123364588825427,0.0084934583553017,long,1,24.3,23.08,2023-04-18,-1.2200000000000024,24.3,-0.0502057613168725,220.0,21.075,2.005
2023-01 -> 2023-03,2023-04,MARA,2023-04-18,2023-04-27,2023-05-19,12.0,-0.0623229461756374,-0.0695889806801347,0.2123364588825427,0.0084934583553017,short,-1,3.53,3.31,2023-04-18,0.2199999999999997,3.53,0.0623229461756373,12.0,0.665,2.645
2023-01 -> 2023-03,2023-04,BABA,2023-04-18,2023-04-27,2023-05-19,95.0,0.2543535620052768,-0.1660219127225995,0.2123364588825427,0.0084934583553017,short,-1,9.475,11.885,2023-04-18,-2.41,9.475,-0.2543535620052771,95.0,0.76,11.125
2023-01 -> 2023-03,2023-04,GOOGL,2023-04-18,2023-04-27,2023-05-19,105.0,-0.2210526315789474,-0.0270211266066459,0.2123364588825427,0.0084934583553017,short,-1,8.55,6.66,2023-04-18,1.8900000000000008,8.55,0.2210526315789474,105.0,4.775,1.8849999999999998
2023-01 -> 2023-03,2023-04,TSLA,2023-04-18,2023-04-27,2023-05-19,185.0,0.0799188640973628,0.2518086622671449,0.2123364588825427,0.0084934583553017,long,1,24.65,26.619999999999997,2023-04-18,1.9699999999999989,24.65,0.079918864097363,185.0,1.07,25.549999999999997
2023-01 -> 2023-03,2023-04,PLTR,2023-04-18,2023-04-27,2023-05-19,9.0,0.1161048689138578,-0.0402558455912898,0.2123364588825427,0.0084934583553017,short,-1,1.335,1.4900000000000002,2023-04-18,-0.1550000000000002,1.335,-0.1161048689138578,9.0,0.165,1.3250000000000002
2023-01 -> 2023-03,2023-04,RIVN,2023-04-18,2023-04-27,2023-05-19,12.5,-0.1145038167938932,0.2455112123982966,0.2123364588825427,0.0084934583553017,long,1,2.62,2.32,2023-04-18,-0.3000000000000002,2.62,-0.1145038167938932,12.5,1.255,1.065
2023-01 -> 2023-03,2023-04,INTC,2023-04-18,2023-04-27,2023-05-19,32.0,0.143824027072758,0.3104188625152537,0.2123364588825427,0.0084934583553017,long,1,2.955,3.38,2023-04-18,0.4249999999999998,2.955,0.143824027072758,32.0,0.605,2.775
2023-01 -> 2023-03,2023-04,F,2023-04-18,2023-04-27,2023-05-19,13.0,0.3247863247863249,0.2335556863327482,0.2123364588825427,0.0084934583553017,long,1,1.17,1.55,2023-04-18,0.3800000000000001,1.17,0.3247863247863249,13.0,0.095,1.455
2023-01 -> 2023-03,2023-04,MARA,2023-04-19,2023-04-28,2023-05-19,11.0,-0.1327731092436973,-0.1273499817838892,0.2123364588825427,0.0084934583553017,short,-1,2.9749999999999996,2.58,2023-04-19,0.3949999999999996,2.9749999999999996,0.1327731092436973,11.0,0.815,1.7650000000000001
2023-01 -> 2023-03,2023-04,AMZN,2023-04-19,2023-04-28,2023-05-19,105.0,-0.3517587939698492,-0.0402841715827575,0.2123364588825427,0.0084934583553017,short,-1,9.95,6.449999999999999,2023-04-19,3.5,9.95,0.3517587939698492,105.0,3.525,2.925
2023-01 -> 2023-03,2023-04,NFLX,2023-04-19,2023-04-28,2023-05-19,325.0,-0.1818181818181817,-0.0234551062970728,0.2123364588825427,0.0084934583553017,short,-1,25.025,20.475,2023-04-19,4.549999999999997,25.025,0.1818181818181817,325.0,13.15,7.325
2023-01 -> 2023-03,2023-04,NIO,2023-04-19,2023-04-28,2023-05-19,10.0,0.2951289398280803,-0.0638040020617135,0.2123364588825427,0.0084934583553017,short,-1,1.745,2.26,2023-04-19,-0.5150000000000001,1.745,-0.2951289398280803,10.0,0.08,2.18
2023-01 -> 2023-03,2023-04,MSFT,2023-04-19,2023-04-28,2023-05-19,290.0,0.1557377049180328,-0.0378881341639993,0.2123364588825427,0.0084934583553017,short,-1,18.3,21.15,2023-04-19,-2.8500000000000014,18.3,-0.1557377049180328,290.0,19.6,1.55
2023-01 -> 2023-03,2023-04,PLTR,2023-04-19,2023-04-28,2023-05-19,8.0,-0.184313725490196,0.277735637769225,0.2123364588825427,0.0084934583553017,long,1,1.275,1.04,2023-04-19,-0.2349999999999998,1.275,-0.184313725490196,8.0,0.405,0.635
2023-01 -> 2023-03,2023-04,META,2023-04-19,2023-04-28,2023-05-19,215.0,0.1454356846473027,0.2432197550630784,0.2123364588825427,0.0084934583553017,long,1,24.1,27.604999999999997,2023-04-19,3.5049999999999955,24.1,0.1454356846473027,215.0,26.674999999999997,0.9299999999999999
2023-01 -> 2023-03,2023-04,MSFT,2023-04-20,2023-05-01,2023-05-19,285.0,0.2571041948579161,-0.1712933372906501,0.2123364588825427,0.0084934583553017,short,-1,18.475,23.225,2023-04-20,-4.75,18.475,-0.2571041948579161,285.0,22.225,1.0
