train_period,val_period,date,exit_date,r_long,r_hat,delta_long,delta_short,signal,signal_num,entry_date
2023-01 -> 2023-03,2023-04,2023-04-03,2023-04-13,-0.1499999999999998,-0.11369856551052838,0.2123364588825427,0.008493458355301709,short,-1,2023-04-03
2023-01 -> 2023-03,2023-04,2023-04-03,2023-04-13,-0.187214611872146,-0.013605384454734965,0.2123364588825427,0.008493458355301709,short,-1,2023-04-03
2023-01 -> 2023-03,2023-04,2023-04-03,2023-04-13,-0.1068883610451306,-0.13407744678359657,0.2123364588825427,0.008493458355301709,short,-1,2023-04-03
2023-01 -> 2023-03,2023-04,2023-04-03,2023-04-13,-0.1469026548672566,-0.10628863968412013,0.2123364588825427,0.008493458355301709,short,-1,2023-04-03
2023-01 -> 2023-03,2023-04,2023-04-04,2023-04-14,-0.1977272727272727,-0.05362591649200448,0.2123364588825427,0.008493458355301709,short,-1,2023-04-04
2023-01 -> 2023-03,2023-04,2023-04-04,2023-04-14,-0.2653061224489795,-0.1276722092344074,0.2123364588825427,0.008493458355301709,short,-1,2023-04-04
2023-01 -> 2023-03,2023-04,2023-04-04,2023-04-14,0.667364016736402,-0.027112965943981444,0.2123364588825427,0.008493458355301709,short,-1,2023-04-04
2023-01 -> 2023-03,2023-04,2023-04-04,2023-04-14,-0.0344262295081966,-0.09687529304189202,0.2123364588825427,0.008493458355301709,short,-1,2023-04-04
2023-01 -> 2023-03,2023-04,2023-04-04,2023-04-14,0.034090909090909,-0.05830037220636346,0.2123364588825427,0.008493458355301709,short,-1,2023-04-04
2023-01 -> 2023-03,2023-04,2023-04-04,2023-04-14,-0.1953612845673505,-0.05435180756969982,0.2123364588825427,0.008493458355301709,short,-1,2023-04-04
2023-01 -> 2023-03,2023-04,2023-04-05,2023-04-17,0.6523605150214592,-0.08086360565507217,0.2123364588825427,0.008493458355301709,short,-1,2023-04-05
2023-01 -> 2023-03,2023-04,2023-04-05,2023-04-17,-0.0912408759124086,-0.17273791080969983,0.2123364588825427,0.008493458355301709,short,-1,2023-04-05
2023-01 -> 2023-03,2023-04,2023-04-05,2023-04-17,-0.2811355311355311,-0.034390557670914895,0.2123364588825427,0.008493458355301709,short,-1,2023-04-05
2023-01 -> 2023-03,2023-04,2023-04-05,2023-04-17,-0.0361990950226244,-0.14986337008247946,0.2123364588825427,0.008493458355301709,short,-1,2023-04-05
2023-01 -> 2023-03,2023-04,2023-04-05,2023-04-17,-0.150259067357513,-0.021685693550638166,0.2123364588825427,0.008493458355301709,short,-1,2023-04-05
2023-01 -> 2023-03,2023-04,2023-04-05,2023-04-17,-0.2056074766355139,-0.06525411584640832,0.2123364588825427,0.008493458355301709,short,-1,2023-04-05
2023-01 -> 2023-03,2023-04,2023-04-06,2023-04-18,-0.1415549597855228,-0.0555338491257888,0.2123364588825427,0.008493458355301709,short,-1,2023-04-06
2023-01 -> 2023-03,2023-04,2023-04-06,2023-04-18,-0.0210526315789473,0.2283033570359344,0.2123364588825427,0.008493458355301709,long,1,2023-04-06
2023-01 -> 2023-03,2023-04,2023-04-06,2023-04-18,-0.2113502935420743,-0.09257300919780594,0.2123364588825427,0.008493458355301709,short,-1,2023-04-06
2023-01 -> 2023-03,2023-04,2023-04-06,2023-04-18,-0.2038461538461537,-0.19327085638237243,0.2123364588825427,0.008493458355301709,short,-1,2023-04-06
2023-01 -> 2023-03,2023-04,2023-04-06,2023-04-18,0.8744075829383889,-0.09083867635109155,0.2123364588825427,0.008493458355301709,short,-1,2023-04-06
2023-01 -> 2023-03,2023-04,2023-04-06,2023-04-18,-0.1903614457831326,-0.2371665308050058,0.2123364588825427,0.008493458355301709,short,-1,2023-04-06
2023-01 -> 2023-03,2023-04,2023-04-10,2023-04-19,-0.0675555555555555,-0.045709821551622024,0.2123364588825427,0.008493458355301709,short,-1,2023-04-10
2023-01 -> 2023-03,2023-04,2023-04-10,2023-04-19,-0.2062937062937063,-0.06457616351127254,0.2123364588825427,0.008493458355301709,short,-1,2023-04-10
2023-01 -> 2023-03,2023-04,2023-04-11,2023-04-20,-0.0660287081339712,-0.06291417524234687,0.2123364588825427,0.008493458355301709,short,-1,2023-04-11
2023-01 -> 2023-03,2023-04,2023-04-11,2023-04-20,0.0013452914798205,-0.05917478545145899,0.2123364588825427,0.008493458355301709,short,-1,2023-04-11
2023-01 -> 2023-03,2023-04,2023-04-11,2023-04-20,0.0774410774410775,-0.1594172022154975,0.2123364588825427,0.008493458355301709,short,-1,2023-04-11
2023-01 -> 2023-03,2023-04,2023-04-11,2023-04-20,-0.0990099009900991,0.2483924574701879,0.2123364588825427,0.008493458355301709,long,1,2023-04-11
2023-01 -> 2023-03,2023-04,2023-04-11,2023-04-20,-0.1914191419141914,-0.21590690796375503,0.2123364588825427,0.008493458355301709,short,-1,2023-04-11
2023-01 -> 2023-03,2023-04,2023-04-12,2023-04-21,-0.0454756380510439,-0.05580527817881818,0.2123364588825427,0.008493458355301709,short,-1,2023-04-12
2023-01 -> 2023-03,2023-04,2023-04-12,2023-04-21,-0.0636942675159236,-0.04040588129684498,0.2123364588825427,0.008493458355301709,short,-1,2023-04-12
2023-01 -> 2023-03,2023-04,2023-04-12,2023-04-21,-0.176923076923077,-0.04783219865246582,0.2123364588825427,0.008493458355301709,short,-1,2023-04-12
2023-01 -> 2023-03,2023-04,2023-04-12,2023-04-21,-0.2590693257359924,-0.06560835413545499,0.2123364588825427,0.008493458355301709,short,-1,2023-04-12
