train_period,val_period,date,exit_date,r_long,r_hat,delta_long,delta_short,signal,signal_num,entry_date
2023-01 -> 2023-03,2023-04,2023-04-13,2023-04-24,-0.1666666666666667,-0.10092751424290568,0.2123364588825427,0.008493458355301709,short,-1,2023-04-13
2023-01 -> 2023-03,2023-04,2023-04-13,2023-04-24,-0.1604819277108433,0.24949064164565135,0.2123364588825427,0.008493458355301709,long,1,2023-04-13
2023-01 -> 2023-03,2023-04,2023-04-13,2023-04-24,-0.099866844207723,-0.14911284208044456,0.2123364588825427,0.008493458355301709,short,-1,2023-04-13
2023-01 -> 2023-03,2023-04,2023-04-14,2023-04-25,-0.1047619047619048,-0.11535780934080221,0.2123364588825427,0.008493458355301709,short,-1,2023-04-14
2023-01 -> 2023-03,2023-04,2023-04-14,2023-04-25,0.3295880149812734,-0.12457823607506308,0.2123364588825427,0.008493458355301709,short,-1,2023-04-14
2023-01 -> 2023-03,2023-04,2023-04-14,2023-04-25,0.3927492447129914,-0.1868380667741138,0.2123364588825427,0.008493458355301709,short,-1,2023-04-14
2023-01 -> 2023-03,2023-04,2023-04-14,2023-04-25,-0.0485933503836316,-0.06959358585911973,0.2123364588825427,0.008493458355301709,short,-1,2023-04-14
2023-01 -> 2023-03,2023-04,2023-04-14,2023-04-25,0.0035714285714285,-0.09446074805239109,0.2123364588825427,0.008493458355301709,short,-1,2023-04-14
2023-01 -> 2023-03,2023-04,2023-04-14,2023-04-25,-0.008974358974359,-0.13969361101466227,0.2123364588825427,0.008493458355301709,short,-1,2023-04-14
2023-01 -> 2023-03,2023-04,2023-04-14,2023-04-25,-0.0178378378378377,-0.13117724700325137,0.2123364588825427,0.008493458355301709,short,-1,2023-04-14
2023-01 -> 2023-03,2023-04,2023-04-14,2023-04-25,-0.0837696335078534,-0.11102203835438107,0.2123364588825427,0.008493458355301709,short,-1,2023-04-14
2023-01 -> 2023-03,2023-04,2023-04-14,2023-04-25,-0.3487241798298907,-0.056969891909829894,0.2123364588825427,0.008493458355301709,short,-1,2023-04-14
2023-01 -> 2023-03,2023-04,2023-04-14,2023-04-25,0.2517123287671234,-0.04465551102807881,0.2123364588825427,0.008493458355301709,short,-1,2023-04-14
2023-01 -> 2023-03,2023-04,2023-04-14,2023-04-25,-0.0862944162436547,-0.08247145581125401,0.2123364588825427,0.008493458355301709,short,-1,2023-04-14
2023-01 -> 2023-03,2023-04,2023-04-14,2023-04-25,-0.0687203791469195,-0.13363803848880987,0.2123364588825427,0.008493458355301709,short,-1,2023-04-14
2023-01 -> 2023-03,2023-04,2023-04-14,2023-04-25,0.0947368421052631,-0.08681844940877041,0.2123364588825427,0.008493458355301709,short,-1,2023-04-14
2023-01 -> 2023-03,2023-04,2023-04-14,2023-04-25,0.3187192118226603,-0.14524304043478606,0.2123364588825427,0.008493458355301709,short,-1,2023-04-14
2023-01 -> 2023-03,2023-04,2023-04-14,2023-04-25,-0.0226628895184137,-0.1272750380688075,0.2123364588825427,0.008493458355301709,short,-1,2023-04-14
2023-01 -> 2023-03,2023-04,2023-04-14,2023-04-25,0.0365503080082137,-0.02827404210129954,0.2123364588825427,0.008493458355301709,short,-1,2023-04-14
2023-01 -> 2023-03,2023-04,2023-04-14,2023-04-25,-0.0073550212164072,-0.21784857258891582,0.2123364588825427,0.008493458355301709,short,-1,2023-04-14
2023-01 -> 2023-03,2023-04,2023-04-14,2023-04-25,-0.207142857142857,-0.009761830557481048,0.2123364588825427,0.008493458355301709,short,-1,2023-04-14
2023-01 -> 2023-03,2023-04,2023-04-14,2023-04-25,-0.0639269406392693,0.41306640209353973,0.2123364588825427,0.008493458355301709,long,1,2023-04-14
2023-01 -> 2023-03,2023-04,2023-04-14,2023-04-25,-0.0358851674641148,-0.1347388151657119,0.2123364588825427,0.008493458355301709,short,-1,2023-04-14
2023-01 -> 2023-03,2023-04,2023-04-17,2023-04-26,-0.0547263681592039,-0.05572717084145282,0.2123364588825427,0.008493458355301709,short,-1,2023-04-17
2023-01 -> 2023-03,2023-04,2023-04-17,2023-04-26,0.004950495049505,-0.1499848057390695,0.2123364588825427,0.008493458355301709,short,-1,2023-04-17
2023-01 -> 2023-03,2023-04,2023-04-17,2023-04-26,-0.4096310193871168,0.25326370766169143,0.2123364588825427,0.008493458355301709,long,1,2023-04-17
2023-01 -> 2023-03,2023-04,2023-04-17,2023-04-26,0.3228070175438595,-0.11872529837717526,0.2123364588825427,0.008493458355301709,short,-1,2023-04-17
2023-01 -> 2023-03,2023-04,2023-04-17,2023-04-26,0.6038961038961037,-0.10800415675599387,0.2123364588825427,0.008493458355301709,short,-1,2023-04-17
2023-01 -> 2023-03,2023-04,2023-04-17,2023-04-26,-0.1424474187380496,0.24564358219858068,0.2123364588825427,0.008493458355301709,long,1,2023-04-17
2023-01 -> 2023-03,2023-04,2023-04-17,2023-04-26,0.1294294294294295,-0.0499361765942977,0.2123364588825427,0.008493458355301709,short,-1,2023-04-17
2023-01 -> 2023-03,2023-04,2023-04-17,2023-04-26,-0.095808383233533,-0.1794069400088076,0.2123364588825427,0.008493458355301709,short,-1,2023-04-17
2023-01 -> 2023-03,2023-04,2023-04-18,2023-04-27,-0.4601769911504424,0.30481454925405804,0.2123364588825427,0.008493458355301709,long,1,2023-04-18
2023-01 -> 2023-03,2023-04,2023-04-18,2023-04-27,-0.0502057613168725,0.2450544199456043,0.2123364588825427,0.008493458355301709,long,1,2023-04-18
2023-01 -> 2023-03,2023-04,2023-04-18,2023-04-27,-0.0623229461756374,-0.0695889806801347,0.2123364588825427,0.008493458355301709,short,-1,2023-04-18
2023-01 -> 2023-03,2023-04,2023-04-18,2023-04-27,0.2543535620052768,-0.16602191272259953,0.2123364588825427,0.008493458355301709,short,-1,2023-04-18
2023-01 -> 2023-03,2023-04,2023-04-18,2023-04-27,-0.2210526315789474,-0.02702112660664596,0.2123364588825427,0.008493458355301709,short,-1,2023-04-18
2023-01 -> 2023-03,2023-04,2023-04-18,2023-04-27,0.0799188640973628,0.25180866226714493,0.2123364588825427,0.008493458355301709,long,1,2023-04-18
2023-01 -> 2023-03,2023-04,2023-04-18,2023-04-27,0.1161048689138578,-0.040255845591289814,0.2123364588825427,0.008493458355301709,short,-1,2023-04-18
2023-01 -> 2023-03,2023-04,2023-04-18,2023-04-27,-0.1145038167938932,0.2455112123982966,0.2123364588825427,0.008493458355301709,long,1,2023-04-18
2023-01 -> 2023-03,2023-04,2023-04-18,2023-04-27,0.143824027072758,0.31041886251525375,0.2123364588825427,0.008493458355301709,long,1,2023-04-18
2023-01 -> 2023-03,2023-04,2023-04-18,2023-04-27,0.3247863247863249,0.2335556863327482,0.2123364588825427,0.008493458355301709,long,1,2023-04-18
2023-01 -> 2023-03,2023-04,2023-04-19,2023-04-28,-0.1327731092436973,-0.1273499817838892,0.2123364588825427,0.008493458355301709,short,-1,2023-04-19
2023-01 -> 2023-03,2023-04,2023-04-19,2023-04-28,-0.3517587939698492,-0.04028417158275758,0.2123364588825427,0.008493458355301709,short,-1,2023-04-19
2023-01 -> 2023-03,2023-04,2023-04-19,2023-04-28,-0.1818181818181817,-0.02345510629707281,0.2123364588825427,0.008493458355301709,short,-1,2023-04-19
2023-01 -> 2023-03,2023-04,2023-04-19,2023-04-28,0.2951289398280803,-0.06380400206171355,0.2123364588825427,0.008493458355301709,short,-1,2023-04-19
2023-01 -> 2023-03,2023-04,2023-04-19,2023-04-28,0.1557377049180328,-0.037888134163999374,0.2123364588825427,0.008493458355301709,short,-1,2023-04-19
2023-01 -> 2023-03,2023-04,2023-04-19,2023-04-28,-0.184313725490196,0.27773563776922505,0.2123364588825427,0.008493458355301709,long,1,2023-04-19
2023-01 -> 2023-03,2023-04,2023-04-19,2023-04-28,0.1454356846473027,0.24321975506307847,0.2123364588825427,0.008493458355301709,long,1,2023-04-19
2023-01 -> 2023-03,2023-04,2023-04-20,2023-05-01,0.2571041948579161,-0.17129333729065016,0.2123364588825427,0.008493458355301709,short,-1,2023-04-20
2023-01 -> 2023-03,2023-04,2023-04-20,2023-05-01,-0.391919191919192,-0.1516872546013352,0.2123364588825427,0.008493458355301709,short,-1,2023-04-20
2023-01 -> 2023-03,2023-04,2023-04-20,2023-05-01,-0.083116883116883,0.25761046238115637,0.2123364588825427,0.008493458355301709,long,1,2023-04-20
2023-01 -> 2023-03,2023-04,2023-04-20,2023-05-01,-0.1536231884057971,-0.1574499622781851,0.2123364588825427,0.008493458355301709,short,-1,2023-04-20
2023-01 -> 2023-03,2023-04,2023-04-20,2023-05-01,-0.1014245014245013,-0.08770129255725037,0.2123364588825427,0.008493458355301709,short,-1,2023-04-20
2023-01 -> 2023-03,2023-04,2023-04-20,2023-05-01,-0.0689165186500888,-0.0777101200997001,0.2123364588825427,0.008493458355301709,short,-1,2023-04-20
2023-01 -> 2023-03,2023-04,2023-04-20,2023-05-01,-0.1461675579322638,-0.02566203888850203,0.2123364588825427,0.008493458355301709,short,-1,2023-04-20
2023-01 -> 2023-03,2023-04,2023-04-21,2023-05-02,-0.0680786686838123,-0.13206283264101132,0.2123364588825427,0.008493458355301709,short,-1,2023-04-21
2023-01 -> 2023-03,2023-04,2023-04-21,2023-05-02,-0.1897289586305279,-0.19357048086851547,0.2123364588825427,0.008493458355301709,short,-1,2023-04-21
2023-01 -> 2023-03,2023-04,2023-04-21,2023-05-02,-0.0031250000000001,-0.08497108813241706,0.2123364588825427,0.008493458355301709,short,-1,2023-04-21
2023-01 -> 2023-03,2023-04,2023-04-21,2023-05-02,-0.0104895104895105,-0.2024483651206856,0.2123364588825427,0.008493458355301709,short,-1,2023-04-21
2023-01 -> 2023-03,2023-04,2023-04-21,2023-05-02,-0.3400611620795108,-0.014407585573304982,0.2123364588825427,0.008493458355301709,short,-1,2023-04-21
2023-01 -> 2023-03,2023-04,2023-04-21,2023-05-02,0.0119904076738609,-0.03981134803662375,0.2123364588825427,0.008493458355301709,short,-1,2023-04-21
2023-01 -> 2023-03,2023-04,2023-04-21,2023-05-02,-0.0772357723577235,-0.09598309382341264,0.2123364588825427,0.008493458355301709,short,-1,2023-04-21
2023-01 -> 2023-03,2023-04,2023-04-21,2023-05-02,-0.3679417122040073,-0.07811062774891238,0.2123364588825427,0.008493458355301709,short,-1,2023-04-21
2023-01 -> 2023-03,2023-04,2023-04-21,2023-05-02,-0.0481060606060605,-0.11426484552560241,0.2123364588825427,0.008493458355301709,short,-1,2023-04-21
2023-01 -> 2023-03,2023-04,2023-04-21,2023-05-02,-0.1584905660377357,-0.04079380794271764,0.2123364588825427,0.008493458355301709,short,-1,2023-04-21
2023-01 -> 2023-03,2023-04,2023-04-21,2023-05-02,-0.1452282157676349,-0.17940270193421778,0.2123364588825427,0.008493458355301709,short,-1,2023-04-21
2023-01 -> 2023-03,2023-04,2023-04-21,2023-05-02,0.1919753086419753,-0.06988021661742723,0.2123364588825427,0.008493458355301709,short,-1,2023-04-21
2023-01 -> 2023-03,2023-04,2023-04-21,2023-05-02,0.2996005326231691,-0.01713485002813642,0.2123364588825427,0.008493458355301709,short,-1,2023-04-21
2023-01 -> 2023-03,2023-04,2023-04-21,2023-05-02,0.3455587392550144,-0.07350052443939106,0.2123364588825427,0.008493458355301709,short,-1,2023-04-21
2023-01 -> 2023-03,2023-04,2023-04-24,2023-05-03,-0.0732673267326732,-0.15585047227711016,0.2123364588825427,0.008493458355301709,short,-1,2023-04-24
2023-01 -> 2023-03,2023-04,2023-04-24,2023-05-03,0.452910052910053,-0.08633659017406844,0.2123364588825427,0.008493458355301709,short,-1,2023-04-24
2023-01 -> 2023-03,2023-04,2023-04-24,2023-05-03,-0.0369003690036899,-0.11935956466959095,0.2123364588825427,0.008493458355301709,short,-1,2023-04-24
2023-01 -> 2023-03,2023-04,2023-04-24,2023-05-03,-0.2352941176470589,-0.10797442786207198,0.2123364588825427,0.008493458355301709,short,-1,2023-04-24
2023-01 -> 2023-03,2023-04,2023-04-24,2023-05-03,-0.1274638633377134,-0.031112649699992674,0.2123364588825427,0.008493458355301709,short,-1,2023-04-24
2023-01 -> 2023-03,2023-04,2023-04-25,2023-05-04,-0.1991525423728812,-0.17043607021435367,0.2123364588825427,0.008493458355301709,short,-1,2023-04-25
2023-01 -> 2023-03,2023-04,2023-04-25,2023-05-04,-0.0186046511627906,-0.1324931416481722,0.2123364588825427,0.008493458355301709,short,-1,2023-04-25
2023-01 -> 2023-03,2023-04,2023-04-25,2023-05-04,-0.1384615384615384,0.2200093457336204,0.2123364588825427,0.008493458355301709,long,1,2023-04-25
2023-01 -> 2023-03,2023-04,2023-04-25,2023-05-04,-0.1839080459770115,-0.1837731054928947,0.2123364588825427,0.008493458355301709,short,-1,2023-04-25
2023-01 -> 2023-03,2023-04,2023-04-25,2023-05-04,-0.253448275862069,0.2124171886927727,0.2123364588825427,0.008493458355301709,long,1,2023-04-25
2023-01 -> 2023-03,2023-04,2023-04-25,2023-05-04,-1.6885521287074623e-16,-0.10317079926602901,0.2123364588825427,0.008493458355301709,short,-1,2023-04-25
2023-01 -> 2023-03,2023-04,2023-04-26,2023-05-05,-0.095617529880478,-0.06029805720751213,0.2123364588825427,0.008493458355301709,short,-1,2023-04-26
2023-01 -> 2023-03,2023-04,2023-04-26,2023-05-05,-0.1458699472759225,-0.1449484381475624,0.2123364588825427,0.008493458355301709,short,-1,2023-04-26
2023-01 -> 2023-03,2023-04,2023-04-26,2023-05-05,0.0342168674698795,-0.10713980092914127,0.2123364588825427,0.008493458355301709,short,-1,2023-04-26
2023-01 -> 2023-03,2023-04,2023-04-26,2023-05-05,-0.0721830985915493,-0.16989728203312043,0.2123364588825427,0.008493458355301709,short,-1,2023-04-26
2023-01 -> 2023-03,2023-04,2023-04-26,2023-05-05,0.0478203434610302,-0.03429761806859351,0.2123364588825427,0.008493458355301709,short,-1,2023-04-26
2023-01 -> 2023-03,2023-04,2023-04-26,2023-05-05,-0.0782608695652172,0.25918599583742225,0.2123364588825427,0.008493458355301709,long,1,2023-04-26
2023-01 -> 2023-03,2023-04,2023-04-26,2023-05-05,-0.1802575107296138,-0.02426238081052317,0.2123364588825427,0.008493458355301709,short,-1,2023-04-26
2023-01 -> 2023-03,2023-04,2023-04-26,2023-05-05,-0.1717314487632508,-0.11053971371361919,0.2123364588825427,0.008493458355301709,short,-1,2023-04-26
2023-01 -> 2023-03,2023-04,2023-04-26,2023-05-05,0.0370994940978078,-0.07579960272320099,0.2123364588825427,0.008493458355301709,short,-1,2023-04-26
2023-01 -> 2023-03,2023-04,2023-04-27,2023-05-08,0.1371681415929206,-0.09322831804517231,0.2123364588825427,0.008493458355301709,short,-1,2023-04-27
2023-01 -> 2023-03,2023-04,2023-04-27,2023-05-08,0.1467576791808874,-0.06211740146600674,0.2123364588825427,0.008493458355301709,short,-1,2023-04-27
2023-01 -> 2023-03,2023-04,2023-04-27,2023-05-08,0.0051063829787235,-0.1030971806234078,0.2123364588825427,0.008493458355301709,short,-1,2023-04-27
2023-01 -> 2023-03,2023-04,2023-04-27,2023-05-08,-0.229310344827586,-0.19763170456008106,0.2123364588825427,0.008493458355301709,short,-1,2023-04-27
2023-01 -> 2023-03,2023-04,2023-04-27,2023-05-08,-0.2227941176470589,-0.023622083877600127,0.2123364588825427,0.008493458355301709,short,-1,2023-04-27
2023-01 -> 2023-03,2023-04,2023-04-27,2023-05-08,-0.2289156626506025,-0.18585045884354187,0.2123364588825427,0.008493458355301709,short,-1,2023-04-27
2023-01 -> 2023-03,2023-04,2023-04-28,2023-05-09,-0.3041474654377881,0.2797425767192385,0.2123364588825427,0.008493458355301709,long,1,2023-04-28
2023-01 -> 2023-03,2023-04,2023-04-28,2023-05-09,-0.3134564643799472,-0.1279264794192737,0.2123364588825427,0.008493458355301709,short,-1,2023-04-28
2023-01 -> 2023-03,2023-04,2023-04-28,2023-05-09,-0.2606796116504855,-0.10562731257731175,0.2123364588825427,0.008493458355301709,short,-1,2023-04-28
2023-01 -> 2023-03,2023-04,2023-04-28,2023-05-09,-0.1538461538461537,-0.13303710368864166,0.2123364588825427,0.008493458355301709,short,-1,2023-04-28
2023-01 -> 2023-03,2023-04,2023-04-28,2023-05-09,-0.280701754385965,0.3662390989316743,0.2123364588825427,0.008493458355301709,long,1,2023-04-28
2023-01 -> 2023-03,2023-04,2023-04-28,2023-05-09,-0.116531165311653,-0.18683482988531014,0.2123364588825427,0.008493458355301709,short,-1,2023-04-28
2023-01 -> 2023-03,2023-04,2023-04-28,2023-05-09,-0.1878787878787878,-0.23240702299526625,0.2123364588825427,0.008493458355301709,short,-1,2023-04-28
2023-01 -> 2023-03,2023-04,2023-04-28,2023-05-09,-0.2034129692832766,-0.05769517122209438,0.2123364588825427,0.008493458355301709,short,-1,2023-04-28
2023-01 -> 2023-03,2023-04,2023-04-28,2023-05-09,-0.1937086092715231,-0.1869059448874994,0.2123364588825427,0.008493458355301709,short,-1,2023-04-28
2023-01 -> 2023-03,2023-04,2023-04-28,2023-05-09,-0.2132352941176469,-0.2766002355709278,0.2123364588825427,0.008493458355301709,short,-1,2023-04-28
2023-01 -> 2023-03,2023-04,2023-04-28,2023-05-09,-0.1429687500000001,-0.04044356518022289,0.2123364588825427,0.008493458355301709,short,-1,2023-04-28
2023-01 -> 2023-03,2023-04,2023-04-28,2023-05-09,-0.2291666666666667,-0.15077708046669744,0.2123364588825427,0.008493458355301709,short,-1,2023-04-28
2023-01 -> 2023-03,2023-04,2023-04-28,2023-05-09,-0.1684981684981684,-0.14841534871625894,0.2123364588825427,0.008493458355301709,short,-1,2023-04-28
2023-01 -> 2023-03,2023-04,2023-04-28,2023-05-09,-0.2985781990521328,-0.04635978806792791,0.2123364588825427,0.008493458355301709,short,-1,2023-04-28
2023-01 -> 2023-03,2023-04,2023-04-28,2023-05-09,-0.2576419213973799,-0.025510087638645387,0.2123364588825427,0.008493458355301709,short,-1,2023-04-28
2023-01 -> 2023-03,2023-04,2023-04-28,2023-05-09,0.0105949470252649,-0.1626257750987406,0.2123364588825427,0.008493458355301709,short,-1,2023-04-28
2023-01 -> 2023-03,2023-04,2023-04-28,2023-05-09,1.0,0.22078278211660346,0.2123364588825427,0.008493458355301709,long,1,2023-04-28
2023-01 -> 2023-03,2023-04,2023-04-28,2023-05-09,0.5361702127659577,-0.03487866694893661,0.2123364588825427,0.008493458355301709,short,-1,2023-04-28
2023-01 -> 2023-03,2023-04,2023-04-28,2023-05-09,-0.1607629427792915,-0.24685578238979683,0.2123364588825427,0.008493458355301709,short,-1,2023-04-28
2023-01 -> 2023-03,2023-04,2023-04-28,2023-05-09,-0.1585139318885448,-0.044763657305381725,0.2123364588825427,0.008493458355301709,short,-1,2023-04-28
2023-01 -> 2023-03,2023-04,2023-04-28,2023-05-09,0.0106856634016028,-0.04690881722422989,0.2123364588825427,0.008493458355301709,short,-1,2023-04-28
2023-01 -> 2023-03,2023-04,2023-04-28,2023-05-09,-0.0608465608465607,-0.07722496185251425,0.2123364588825427,0.008493458355301709,short,-1,2023-04-28
2023-01 -> 2023-04,2023-05,2023-05-01,2023-05-10,0.8370044052863436,0.1733357742145893,0.007808162170552942,0.21862854077548238,long,1,2023-05-01
2023-01 -> 2023-04,2023-05,2023-05-01,2023-05-10,-0.0368217054263564,0.24442909470247345,0.007808162170552942,0.21862854077548238,long,1,2023-05-01
2023-01 -> 2023-04,2023-05,2023-05-01,2023-05-10,-0.0617283950617283,0.012591073105086512,0.007808162170552942,0.21862854077548238,long,1,2023-05-01
2023-01 -> 2023-04,2023-05,2023-05-01,2023-05-10,-0.0578034682080925,0.14940659321469213,0.007808162170552942,0.21862854077548238,long,1,2023-05-01
2023-01 -> 2023-04,2023-05,2023-05-02,2023-05-11,-0.3568464730290457,-0.2475470094634851,0.007808162170552942,0.21862854077548238,short,-1,2023-05-02
2023-01 -> 2023-04,2023-05,2023-05-02,2023-05-11,0.0708333333333335,-0.2450271792204299,0.007808162170552942,0.21862854077548238,short,-1,2023-05-02
2023-01 -> 2023-04,2023-05,2023-05-02,2023-05-11,-0.2628019323671496,0.02701693371984699,0.007808162170552942,0.21862854077548238,long,1,2023-05-02
2023-01 -> 2023-04,2023-05,2023-05-02,2023-05-11,-0.0037940379403794,0.0317458089227347,0.007808162170552942,0.21862854077548238,long,1,2023-05-02
2023-01 -> 2023-04,2023-05,2023-05-03,2023-05-12,0.8437500000000002,0.2878070366086765,0.007808162170552942,0.21862854077548238,long,1,2023-05-03
2023-01 -> 2023-04,2023-05,2023-05-03,2023-05-12,0.0988900100908174,0.1664477944411647,0.007808162170552942,0.21862854077548238,long,1,2023-05-03
2023-01 -> 2023-04,2023-05,2023-05-03,2023-05-12,-0.2611111111111111,0.07715962154117524,0.007808162170552942,0.21862854077548238,long,1,2023-05-03
2023-01 -> 2023-04,2023-05,2023-05-03,2023-05-12,-0.1193763919821827,0.09040883491135424,0.007808162170552942,0.21862854077548238,long,1,2023-05-03
2023-01 -> 2023-04,2023-05,2023-05-03,2023-05-12,-0.2056451612903227,0.05356142129084975,0.007808162170552942,0.21862854077548238,long,1,2023-05-03
2023-01 -> 2023-04,2023-05,2023-05-04,2023-05-15,0.8533333333333333,0.01299983836020209,0.007808162170552942,0.21862854077548238,long,1,2023-05-04
2023-01 -> 2023-04,2023-05,2023-05-04,2023-05-15,-0.047001620745543,0.013287427050619824,0.007808162170552942,0.21862854077548238,long,1,2023-05-04
2023-01 -> 2023-04,2023-05,2023-05-04,2023-05-15,-0.1973626373626374,-0.21938289187088109,0.007808162170552942,0.21862854077548238,short,-1,2023-05-04
2023-01 -> 2023-04,2023-05,2023-05-04,2023-05-15,-0.2399999999999999,-0.23866590356364348,0.007808162170552942,0.21862854077548238,short,-1,2023-05-04
2023-01 -> 2023-04,2023-05,2023-05-04,2023-05-15,-0.0353178607467204,0.11308613272918101,0.007808162170552942,0.21862854077548238,long,1,2023-05-04
2023-01 -> 2023-04,2023-05,2023-05-04,2023-05-15,0.060281690140845,0.16705717433692716,0.007808162170552942,0.21862854077548238,long,1,2023-05-04
2023-01 -> 2023-04,2023-05,2023-05-05,2023-05-16,0.7219917012448134,0.15827119406438547,0.007808162170552942,0.21862854077548238,long,1,2023-05-05
2023-01 -> 2023-04,2023-05,2023-05-05,2023-05-16,-0.3168724279835391,0.0083784126573328,0.007808162170552942,0.21862854077548238,long,1,2023-05-05
