train_period,val_period,ticker,date,exit_date,exdate,strike,r_long,r_hat,delta_long,delta_short,signal,signal_num,entry_premium,exit_premium,entry_date,trade_profit,trade_cost,trade_return
2023-01 -> 2023-03,2023-04,AAPL,2023-04-03,2023-04-13,2023-05-05,165.0,-0.1499999999999998,-0.11369856551052838,0.2123364588825427,0.008493458355301709,short,-1,11.0,9.350000000000001,2023-04-03,1.6499999999999986,11.0,0.14999999999999988
2023-01 -> 2023-03,2023-04,PLTR,2023-04-03,2023-04-13,2023-05-05,8.5,-0.187214611872146,-0.013605384454734965,0.2123364588825427,0.008493458355301709,short,-1,1.095,0.89,2023-04-03,0.20499999999999996,1.095,0.18721461187214608
2023-01 -> 2023-03,2023-04,AMZN,2023-04-03,2023-04-13,2023-05-05,102.0,-0.1068883610451306,-0.13407744678359657,0.2123364588825427,0.008493458355301709,short,-1,10.525,9.4,2023-04-03,1.125,10.525,0.10688836104513064
2023-01 -> 2023-03,2023-04,TSLA,2023-04-03,2023-04-13,2023-05-05,195.0,-0.1469026548672566,-0.10628863968412013,0.2123364588825427,0.008493458355301709,short,-1,28.25,24.1,2023-04-03,4.149999999999999,28.25,0.1469026548672566
2023-01 -> 2023-03,2023-04,AAPL,2023-04-04,2023-04-14,2023-05-05,165.0,-0.1977272727272727,-0.05362591649200448,0.2123364588825427,0.008493458355301709,short,-1,11.0,8.825,2023-04-04,2.1750000000000007,11.0,0.19772727272727278
2023-01 -> 2023-03,2023-04,NIO,2023-04-04,2023-04-14,2023-05-05,9.0,-0.2653061224489795,-0.1276722092344074,0.2123364588825427,0.008493458355301709,short,-1,1.47,1.08,2023-04-04,0.3899999999999999,1.47,0.26530612244897955
2023-01 -> 2023-03,2023-04,MARA,2023-04-04,2023-04-14,2023-05-05,8.5,0.667364016736402,-0.027112965943981444,0.2123364588825427,0.008493458355301709,short,-1,2.3899999999999997,3.9850000000000003,2023-04-04,-1.5950000000000006,2.3899999999999997,-0.667364016736402
2023-01 -> 2023-03,2023-04,GOOGL,2023-04-04,2023-04-14,2023-05-05,105.0,-0.0344262295081966,-0.09687529304189202,0.2123364588825427,0.008493458355301709,short,-1,9.15,8.835,2023-04-04,0.3149999999999995,9.15,0.03442622950819667
2023-01 -> 2023-03,2023-04,SOFI,2023-04-04,2023-04-14,2023-05-05,6.0,0.034090909090909,-0.05830037220636346,0.2123364588825427,0.008493458355301709,short,-1,0.88,0.9099999999999999,2023-04-04,-0.029999999999999916,0.88,-0.034090909090909
2023-01 -> 2023-03,2023-04,TSLA,2023-04-04,2023-04-14,2023-05-05,192.5,-0.1953612845673505,-0.05435180756969982,0.2123364588825427,0.008493458355301709,short,-1,28.025,22.55,2023-04-04,5.474999999999998,28.025,0.19536128456735052
2023-01 -> 2023-03,2023-04,MARA,2023-04-05,2023-04-17,2023-05-05,8.0,0.6523605150214592,-0.08086360565507217,0.2123364588825427,0.008493458355301709,short,-1,2.33,3.85,2023-04-05,-1.52,2.33,-0.6523605150214592
2023-01 -> 2023-03,2023-04,NIO,2023-04-05,2023-04-17,2023-05-05,9.0,-0.0912408759124086,-0.17273791080969983,0.2123364588825427,0.008493458355301709,short,-1,1.37,1.245,2023-04-05,0.125,1.37,0.09124087591240876
