train_period,val_period,ticker,date,exit_date,exdate,strike,r_long,r_hat,delta_long,delta_short,signal,signal_num,entry_premium,exit_premium,entry_date
2023-01 -> 2023-03,2023-04,GOOGL,2023-04-18,2023-04-27,2023-05-19,105.0,-0.2210526315789474,-0.02702112660664596,0.2123364588825427,0.008493458355301709,short,-1,8.55,6.66,2023-04-18
2023-01 -> 2023-03,2023-04,TSLA,2023-04-18,2023-04-27,2023-05-19,185.0,0.0799188640973628,0.25180866226714493,0.2123364588825427,0.008493458355301709,long,1,24.65,26.619999999999997,2023-04-18
2023-01 -> 2023-03,2023-04,PLTR,2023-04-18,2023-04-27,2023-05-19,9.0,0.1161048689138578,-0.040255845591289814,0.2123364588825427,0.008493458355301709,short,-1,1.335,1.4900000000000002,2023-04-18
2023-01 -> 2023-03,2023-04,RIVN,2023-04-18,2023-04-27,2023-05-19,12.5,-0.1145038167938932,0.2455112123982966,0.2123364588825427,0.008493458355301709,long,1,2.62,2.32,2023-04-18
2023-01 -> 2023-03,2023-04,INTC,2023-04-18,2023-04-27,2023-05-19,32.0,0.143824027072758,0.31041886251525375,0.2123364588825427,0.008493458355301709,long,1,2.955,3.38,2023-04-18
2023-01 -> 2023-03,2023-04,F,2023-04-18,2023-04-27,2023-05-19,13.0,0.3247863247863249,0.2335556863327482,0.2123364588825427,0.008493458355301709,long,1,1.17,1.55,2023-04-18
2023-01 -> 2023-03,2023-04,MARA,2023-04-19,2023-04-28,2023-05-19,11.0,-0.1327731092436973,-0.1273499817838892,0.2123364588825427,0.008493458355301709,short,-1,2.9749999999999996,2.58,2023-04-19
2023-01 -> 2023-03,2023-04,AMZN,2023-04-19,2023-04-28,2023-05-19,105.0,-0.3517587939698492,-0.04028417158275758,0.2123364588825427,0.008493458355301709,short,-1,9.95,6.449999999999999,2023-04-19
2023-01 -> 2023-03,2023-04,NFLX,2023-04-19,2023-04-28,2023-05-19,325.0,-0.1818181818181817,-0.02345510629707281,0.2123364588825427,0.008493458355301709,short,-1,25.025,20.475,2023-04-19
2023-01 -> 2023-03,2023-04,NIO,2023-04-19,2023-04-28,2023-05-19,10.0,0.2951289398280803,-0.06380400206171355,0.2123364588825427,0.008493458355301709,short,-1,1.745,2.2600000000000002,2023-04-19
2023-01 -> 2023-03,2023-04,MSFT,2023-04-19,2023-04-28,2023-05-19,290.0,0.1557377049180328,-0.037888134163999374,0.2123364588825427,0.008493458355301709,short,-1,18.3,21.150000000000002,2023-04-19
2023-01 -> 2023-03,2023-04,PLTR,2023-04-19,2023-04-28,2023-05-19,8.0,-0.184313725490196,0.27773563776922505,0.2123364588825427,0.008493458355301709,long,1,1.275,1.04,2023-04-19
2023-01 -> 2023-03,2023-04,META,2023-04-19,2023-04-28,2023-05-19,215.0,0.1454356846473027,0.24321975506307847,0.2123364588825427,0.008493458355301709,long,1,24.1,27.604999999999997,2023-04-19
2023-01 -> 2023-03,2023-04,MSFT,2023-04-20,2023-05-01,2023-05-19,285.0,0.2571041948579161,-0.17129333729065016,0.2123364588825427,0.008493458355301709,short,-1,18.475,23.225,2023-04-20
2023-01 -> 2023-03,2023-04,AMZN,2023-04-20,2023-05-01,2023-05-19,105.0,-0.391919191919192,-0.1516872546013352,0.2123364588825427,0.008493458355301709,short,-1,9.9,6.02,2023-04-20
2023-01 -> 2023-03,2023-04,AMD,2023-04-20,2023-05-01,2023-05-19,90.0,-0.083116883116883,0.25761046238115637,0.2123364588825427,0.008493458355301709,long,1,9.625,8.825000000000001,2023-04-20
2023-01 -> 2023-03,2023-04,AVGO,2023-04-20,2023-05-01,2023-05-19,63.0,-0.1536231884057971,-0.1574499622781851,0.2123364588825427,0.008493458355301709,short,-1,34.5,29.2,2023-04-20
2023-01 -> 2023-03,2023-04,BABA,2023-04-20,2023-05-01,2023-05-19,90.0,-0.1014245014245013,-0.08770129255725037,0.2123364588825427,0.008493458355301709,short,-1,8.774999999999999,7.885,2023-04-20
2023-01 -> 2023-03,2023-04,COIN,2023-04-20,2023-05-01,2023-05-19,60.0,-0.0689165186500888,-0.0777101200997001,0.2123364588825427,0.008493458355301709,short,-1,14.075,13.104999999999999,2023-04-20
2023-01 -> 2023-03,2023-04,MARA,2023-04-20,2023-05-01,2023-05-19,10.0,-0.1461675579322638,-0.02566203888850203,0.2123364588825427,0.008493458355301709,short,-1,2.805,2.395,2023-04-20
2023-01 -> 2023-03,2023-04,AVGO,2023-04-21,2023-05-02,2023-05-19,63.0,-0.0680786686838123,-0.13206283264101132,0.2123364588825427,0.008493458355301709,short,-1,33.05,30.8,2023-04-21
2023-01 -> 2023-03,2023-04,TSLA,2023-04-21,2023-05-02,2023-05-19,165.0,-0.1897289586305279,-0.19357048086851547,0.2123364588825427,0.008493458355301709,short,-1,17.525000000000002,14.2,2023-04-21
2023-01 -> 2023-03,2023-04,AAPL,2023-04-21,2023-05-02,2023-05-19,165.0,-0.0031250000000001,-0.08497108813241706,0.2123364588825427,0.008493458355301709,short,-1,9.6,9.57,2023-04-21
2023-01 -> 2023-03,2023-04,NIO,2023-04-21,2023-05-02,2023-05-26,8.5,-0.0104895104895105,-0.2024483651206856,0.2123364588825427,0.008493458355301709,short,-1,1.4300000000000002,1.415,2023-04-21
2023-01 -> 2023-03,2023-04,GOOGL,2023-04-21,2023-05-02,2023-05-19,105.0,-0.3400611620795108,-0.014407585573304982,0.2123364588825427,0.008493458355301709,short,-1,8.175,5.395,2023-04-21
2023-01 -> 2023-03,2023-04,AAPL,2023-04-21,2023-05-02,2023-05-26,165.0,0.0119904076738609,-0.03981134803662375,0.2123364588825427,0.008493458355301709,short,-1,10.425,10.55,2023-04-21
2023-01 -> 2023-03,2023-04,F,2023-04-21,2023-05-02,2023-05-26,12.0,-0.0772357723577235,-0.09598309382341264,0.2123364588825427,0.008493458355301709,short,-1,1.23,1.135,2023-04-21
2023-01 -> 2023-03,2023-04,INTC,2023-04-21,2023-05-02,2023-05-19,30.0,-0.3679417122040073,-0.07811062774891238,0.2123364588825427,0.008493458355301709,short,-1,2.745,1.7349999999999999,2023-04-21
2023-01 -> 2023-03,2023-04,COIN,2023-04-21,2023-05-02,2023-05-19,60.0,-0.0481060606060605,-0.11426484552560241,0.2123364588825427,0.008493458355301709,short,-1,13.2,12.565,2023-04-21
2023-01 -> 2023-03,2023-04,TSLA,2023-04-21,2023-05-02,2023-05-26,165.0,-0.1584905660377357,-0.04079380794271764,0.2123364588825427,0.008493458355301709,short,-1,19.875,16.725,2023-04-21
2023-01 -> 2023-03,2023-04,MARA,2023-04-21,2023-05-02,2023-05-19,9.0,-0.1452282157676349,-0.17940270193421778,0.2123364588825427,0.008493458355301709,short,-1,2.41,2.06,2023-04-21
2023-01 -> 2023-03,2023-04,BABA,2023-04-21,2023-05-02,2023-05-19,90.0,0.1919753086419753,-0.06988021661742723,0.2123364588825427,0.008493458355301709,short,-1,8.1,9.655,2023-04-21
2023-01 -> 2023-03,2023-04,MSFT,2023-04-21,2023-05-02,2023-05-26,285.0,0.2996005326231691,-0.01713485002813642,0.2123364588825427,0.008493458355301709,short,-1,18.775,24.4,2023-04-21
2023-01 -> 2023-03,2023-04,MSFT,2023-04-21,2023-05-02,2023-05-19,285.0,0.3455587392550144,-0.07350052443939106,0.2123364588825427,0.008493458355301709,short,-1,17.45,23.48,2023-04-21
2023-01 -> 2023-03,2023-04,MARA,2023-04-24,2023-05-03,2023-05-26,9.0,-0.0732673267326732,-0.15585047227711016,0.2123364588825427,0.008493458355301709,short,-1,2.525,2.34,2023-04-24
2023-01 -> 2023-03,2023-04,MSFT,2023-04-24,2023-05-03,2023-05-26,280.0,0.452910052910053,-0.08633659017406844,0.2123364588825427,0.008493458355301709,short,-1,18.9,27.46,2023-04-24
2023-01 -> 2023-03,2023-04,NIO,2023-04-24,2023-05-03,2023-05-26,8.5,-0.0369003690036899,-0.11935956466959095,0.2123364588825427,0.008493458355301709,short,-1,1.355,1.3050000000000002,2023-04-24
2023-01 -> 2023-03,2023-04,INTC,2023-04-24,2023-05-03,2023-05-26,30.0,-0.2352941176470589,-0.10797442786207198,0.2123364588825427,0.008493458355301709,short,-1,2.8049999999999997,2.1449999999999996,2023-04-24
2023-01 -> 2023-03,2023-04,TSLA,2023-04-24,2023-05-03,2023-05-26,165.0,-0.1274638633377134,-0.031112649699992674,0.2123364588825427,0.008493458355301709,short,-1,19.025,16.6,2023-04-24
2023-01 -> 2023-03,2023-04,F,2023-04-25,2023-05-04,2023-05-26,12.0,-0.1991525423728812,-0.17043607021435367,0.2123364588825427,0.008493458355301709,short,-1,1.18,0.9450000000000001,2023-04-25
2023-01 -> 2023-03,2023-04,AAPL,2023-04-25,2023-05-04,2023-05-26,165.0,-0.0186046511627906,-0.1324931416481722,0.2123364588825427,0.008493458355301709,short,-1,10.75,10.55,2023-04-25
2023-01 -> 2023-03,2023-04,SOFI,2023-04-25,2023-05-04,2023-05-26,5.5,-0.1384615384615384,0.2200093457336204,0.2123364588825427,0.008493458355301709,long,1,0.975,0.84,2023-04-25
2023-01 -> 2023-03,2023-04,NIO,2023-04-25,2023-05-04,2023-05-26,8.0,-0.1839080459770115,-0.1837731054928947,0.2123364588825427,0.008493458355301709,short,-1,1.305,1.065,2023-04-25
2023-01 -> 2023-03,2023-04,GOOGL,2023-04-25,2023-05-04,2023-05-26,104.0,-0.253448275862069,0.2124171886927727,0.2123364588825427,0.008493458355301709,long,1,8.7,6.494999999999999,2023-04-25
2023-01 -> 2023-03,2023-04,MARA,2023-04-25,2023-05-04,2023-05-26,9.0,-1.6885521287074623e-16,-0.10317079926602901,0.2123364588825427,0.008493458355301709,short,-1,2.6300000000000003,2.63,2023-04-25
2023-01 -> 2023-03,2023-04,NIO,2023-04-26,2023-05-05,2023-05-26,7.5,-0.095617529880478,-0.06029805720751213,0.2123364588825427,0.008493458355301709,short,-1,1.255,1.135,2023-04-26
2023-01 -> 2023-03,2023-04,MARA,2023-04-26,2023-05-05,2023-05-26,9.5,-0.1458699472759225,-0.1449484381475624,0.2123364588825427,0.008493458355301709,short,-1,2.845,2.43,2023-04-26
2023-01 -> 2023-03,2023-04,AAPL,2023-04-26,2023-05-05,2023-05-26,165.0,0.0342168674698795,-0.10713980092914127,0.2123364588825427,0.008493458355301709,short,-1,10.375,10.73,2023-04-26
2023-01 -> 2023-03,2023-04,INTC,2023-04-26,2023-05-05,2023-05-26,29.0,-0.0721830985915493,-0.16989728203312043,0.2123364588825427,0.008493458355301709,short,-1,2.84,2.635,2023-04-26
2023-01 -> 2023-03,2023-04,TSLA,2023-04-26,2023-05-05,2023-05-26,155.0,0.0478203434610302,-0.03429761806859351,0.2123364588825427,0.008493458355301709,short,-1,18.925,19.83,2023-04-26
2023-01 -> 2023-03,2023-04,PLTR,2023-04-26,2023-05-05,2023-05-26,7.5,-0.0782608695652172,0.25918599583742225,0.2123364588825427,0.008493458355301709,long,1,1.15,1.06,2023-04-26
2023-01 -> 2023-03,2023-04,F,2023-04-26,2023-05-05,2023-05-26,11.5,-0.1802575107296138,-0.02426238081052317,0.2123364588825427,0.008493458355301709,short,-1,1.165,0.955,2023-04-26
2023-01 -> 2023-03,2023-04,GOOGL,2023-04-26,2023-05-05,2023-05-26,104.0,-0.1717314487632508,-0.11053971371361919,0.2123364588825427,0.008493458355301709,short,-1,7.075,5.86,2023-04-26
2023-01 -> 2023-03,2023-04,NVDA,2023-04-26,2023-05-05,2023-05-26,27.0,0.0370994940978078,-0.07579960272320099,0.2123364588825427,0.008493458355301709,short,-1,29.65,30.75,2023-04-26
2023-01 -> 2023-03,2023-04,PLTR,2023-04-27,2023-05-08,2023-05-26,8.0,0.1371681415929206,-0.09322831804517231,0.2123364588825427,0.008493458355301709,short,-1,1.13,1.2850000000000001,2023-04-27
2023-01 -> 2023-03,2023-04,NVDA,2023-04-27,2023-05-08,2023-05-26,27.0,0.1467576791808874,-0.06211740146600674,0.2123364588825427,0.008493458355301709,short,-1,29.3,33.6,2023-04-27
2023-01 -> 2023-03,2023-04,TSLA,2023-04-27,2023-05-08,2023-05-26,160.0,0.0051063829787235,-0.1030971806234078,0.2123364588825427,0.008493458355301709,short,-1,17.625,17.715000000000003,2023-04-27
2023-01 -> 2023-03,2023-04,MARA,2023-04-27,2023-05-08,2023-05-26,10.0,-0.229310344827586,-0.19763170456008106,0.2123364588825427,0.008493458355301709,short,-1,2.9,2.2350000000000003,2023-04-27
2023-01 -> 2023-03,2023-04,GOOGL,2023-04-27,2023-05-08,2023-05-26,108.0,-0.2227941176470589,-0.023622083877600127,0.2123364588825427,0.008493458355301709,short,-1,6.800000000000001,5.285,2023-04-27
2023-01 -> 2023-03,2023-04,NIO,2023-04-27,2023-05-08,2023-05-26,8.0,-0.2289156626506025,-0.18585045884354187,0.2123364588825427,0.008493458355301709,short,-1,1.245,0.96,2023-04-27
2023-01 -> 2023-03,2023-04,SOFI,2023-04-28,2023-05-09,2023-05-26,6.0,-0.3041474654377881,0.2797425767192385,0.2123364588825427,0.008493458355301709,long,1,1.085,0.7549999999999999,2023-04-28
2023-01 -> 2023-03,2023-04,AAPL,2023-04-28,2023-05-09,2023-05-26,170.0,-0.3134564643799472,-0.1279264794192737,0.2123364588825427,0.008493458355301709,short,-1,9.475,6.505,2023-04-28
