ticker,date,exit_date,exdate,strike,strike_key,signal,alpha_call,alpha_put,call_entry_premium,put_entry_premium,call_exit_premium,put_exit_premium,weighted_entry,weighted_exit,trade_profit_w,trade_return_w
AAPL,2023-04-05,2023-04-17,2023-05-05,165.0,165.0,short,0.6483352837667247,0.35166471623327533,5.1,5.6,4.55,3.95,10.7,8.84318611716322,1.8568138828367786,0.173534007741755
MARA,2023-04-05,2023-04-17,2023-05-05,8.0,8.0,short,0.39413401613159976,0.6058659838684002,1.0750000000000002,1.255,3.65,0.2,2.33,3.343025333871078,-1.0130253338710777,-0.434774821403896
MSFT,2023-04-05,2023-04-17,2023-05-05,285.0,285.0,short,0.7709616116264605,0.22903838837353951,9.875,9.425,10.3,6.1,19.3,18.380920201787628,0.9190797982123726,0.047620714933283556
NIO,2023-04-05,2023-04-17,2023-05-05,9.0,9.0,short,0.1182186805494848,0.8817813194505152,0.69,0.6799999999999999,1.03,0.21500000000000002,1.3699999999999999,0.6237197207126174,0.7462802792873825,0.5447301308667026
PLTR,2023-04-05,2023-04-17,2023-05-05,8.0,8.0,short,0.5561076624777888,0.44389233752221124,0.5700000000000001,0.535,0.9450000000000001,0.12,1.105,1.1287935265283444,-0.023793526528344433,-0.021532603193071886
AAPL,2023-04-06,2023-04-18,2023-05-05,165.0,165.0,short,0.6305546424370914,0.36944535756290864,5.3,5.074999999999999,5.225,3.175,10.375,8.847411340509355,1.527588659490645,0.1472374611557248
GOOGL,2023-04-06,2023-04-18,2023-05-05,108.0,108.0,short,0.8651166051250614,0.1348833948749386,5.1,4.225,2.3049999999999997,5.7,9.325,5.342960575327755,3.9820394246722444,0.4270283565332166
MARA,2023-04-06,2023-04-18,2023-05-05,8.0,8.0,short,0.4629516510705146,0.5370483489294854,0.995,1.115,3.7750000000000004,0.18,2.11,3.888989517315277,-1.778989517315277,-0.8431229939882829
NIO,2023-04-06,2023-04-18,2023-05-05,9.0,9.0,short,0.4294893674216645,0.5705106325783356,0.665,0.635,0.775,0.26,1.3,0.9543659139417088,0.34563408605829127,0.2658723738909933
SOFI,2023-04-06,2023-04-18,2023-05-05,5.5,5.5,long,0.967904225181173,0.03209577481882697,0.61,0.33999999999999997,0.715,0.215,0.95,1.0970662203885282,0.14706622038852823,0.15480654777739816
TSLA,2023-04-06,2023-04-18,2023-05-05,185.0,185.0,short,0.5105243030740979,0.4894756969259021,13.225,12.325,10.125,10.024999999999999,25.549999999999997,20.158655317966375,5.391344682033623,0.21101153354339033
AAPL,2023-04-10,2023-04-19,2023-05-12,162.5,162.5,short,0.814012371553311,0.18598762844668904,5.55,5.7,8.0,2.49,11.25,14.114231925373401,-2.864231925373401,-0.25459839336652457
NIO,2023-04-10,2023-04-19,2023-05-12,9.0,9.0,short,0.11401500115592848,0.8859849988440716,0.76,0.67,0.485,0.65,1.4300000000000002,1.3331850797291127,0.09681492027088745,0.06770274144817304
AAPL,2023-04-11,2023-04-20,2023-05-12,160.0,160.0,short,0.9095973044377427,0.09040269556225733,6.25,4.9,9.0,2.165,11.15,15.049861354786888,-3.8998613547868874,-0.349763350205102
AMZN,2023-04-11,2023-04-20,2023-05-12,100.0,100.0,short,0.8689263460540472,0.13107365394595283,5.4,5.05,6.925,2.835,10.45,12.413560383149152,-1.9635603831491526,-0.18790051513389022
MARA,2023-04-11,2023-04-20,2023-05-12,10.0,10.0,short,0.12114784706765094,0.8788521529323491,1.5750000000000002,1.455,0.9550000000000001,1.495,3.0300000000000002,2.9587069414799028,0.07129305852009749,0.023529062217853954
NIO,2023-04-11,2023-04-20,2023-05-12,9.5,9.5,short,0.43405348864959553,0.5659465113504045,0.775,0.71,0.21000000000000002,1.3900000000000001,1.4849999999999999,1.820007511035291,-0.33500751103529103,-0.22559428352544852
SOFI,2023-04-11,2023-04-20,2023-05-12,6.0,6.0,long,0.910211661321817,0.08978833867818303,0.5,0.51,0.43,0.48,1.01,0.8759615874382148,-0.13403841256178517,-0.13271129956612393
AAPL,2023-04-12,2023-04-21,2023-05-12,160.0,160.0,short,0.9641516060990316,0.03584839390096839,5.675,5.1,7.825,2.46,10.774999999999999,14.51087007239149,-3.735870072391492,-0.34671648003633343
INTC,2023-04-12,2023-04-21,2023-05-12,32.0,32.0,short,0.4166969037143363,0.5833030962856637,1.5950000000000002,1.545,0.59,2.35,3.14,3.2698812043109324,-0.1298812043109323,-0.04136344086335424
MSFT,2023-04-12,2023-04-21,2023-05-12,285.0,285.0,short,0.8866918097036146,0.11330819029638539,9.6,9.9,8.774999999999999,7.275,19.5,17.42824364321494,2.071756356785059,0.10624391573256713
TSLA,2023-04-12,2023-04-21,2023-05-12,180.0,180.0,short,0.7668704807101018,0.23312951928989822,13.725,12.6,2.48,17.025,26.325,11.940226975012463,14.384773024987537,0.5464301244059843
AAPL,2023-04-13,2023-04-24,2023-05-12,165.0,165.0,short,0.8734188529620611,0.12658114703793888,5.7,4.65,4.574999999999999,4.05,10.350000000000001,8.396765065520658,1.9532349344793438,0.1887183511574245
AMD,2023-04-13,2023-04-24,2023-05-12,92.0,92.0,long,0.7677564438252191,0.23224355617478087,5.4,4.975,2.2350000000000003,6.475,10.375,6.4328382292864426,-3.9421617707135574,-0.3799673995868489
MSFT,2023-04-13,2023-04-24,2023-05-12,290.0,290.0,short,0.9781723706359687,0.021827629364031265,9.75,9.024999999999999,4.6,12.3,18.775,9.223128011433682,9.551871988566317,0.5087548329462752
AAPL,2023-04-14,2023-04-25,2023-05-12,165.0,165.0,short,0.736560469041974,0.26343953095802597,5.25,4.6,4.05,4.95,9.85,8.38912318997446,1.460876810025539,0.14831236650005472
AAPL,2023-04-14,2023-04-25,2023-05-12,165.0,165.0,short,0.736560469041974,0.26343953095802597,5.25,4.6,4.05,4.95,9.85,8.38912318997446,1.460876810025539,0.14831236650005472
AAPL,2023-04-14,2023-04-25,2023-05-19,165.0,165.0,short,0.4974050180263819,0.5025949819736182,5.6,4.95,4.5,5.324999999999999,10.55,9.920912154269644,0.629087845730357,0.05962917969008123
AAPL,2023-04-14,2023-04-25,2023-05-19,165.0,165.0,short,0.4974050180263819,0.5025949819736182,5.6,4.95,4.5,5.324999999999999,10.55,9.920912154269644,0.629087845730357,0.05962917969008123
AMD,2023-04-14,2023-04-25,2023-05-19,90.0,90.0,long,0.849671596619572,0.15032840338042797,6.55,4.4,2.2,8.05,10.95,6.1365828692742115,-4.813417130725788,-0.4395814731256428
AMZN,2023-04-14,2023-04-25,2023-05-12,103.0,103.0,short,0.6884420202928379,0.31155797970716215,4.825,4.95,4.6,4.7,9.775,9.30737606821473,0.46762393178527084,0.047838765400027704
AMZN,2023-04-14,2023-04-25,2023-05-19,105.0,105.0,short,0.8282516546477143,0.17174834535228567,4.2,6.25,4.025,6.05,10.45,10.031932778686336,0.41806722131366314,0.04000643266159456
BABA,2023-04-14,2023-04-25,2023-05-19,95.0,95.0,short,0.15804619024656397,0.841953809753436,5.05,5.1,0.7849999999999999,12.6,10.149999999999999,21.362590844427178,-11.21259084442718,-1.1046887531455352
COIN,2023-04-14,2023-04-25,2023-05-19,70.0,70.0,short,0.43029669346696886,0.5697033065330311,8.8,8.875,1.57,15.975000000000001,17.675,19.48199997797737,-1.8069999779773696,-0.10223479366208597
GOOGL,2023-04-14,2023-04-25,2023-05-19,110.0,110.0,short,0.5975764418900272,0.40242355810997277,4.324999999999999,4.925000000000001,1.685,7.4,9.25,7.746595050185198,1.5034049498148017,0.16253026484484343
INTC,2023-04-14,2023-04-25,2023-05-12,32.0,32.0,short,0.4323029201343695,0.5676970798656304,1.4,1.52,0.255,3.4000000000000004,2.92,3.9378816912843466,-1.0178816912843467,-0.34858962030285845
MARA,2023-04-14,2023-04-25,2023-05-19,12.0,12.0,short,0.07942356793031667,0.9205764320696833,1.865,2.035,0.41500000000000004,3.45,3.9000000000000004,6.155587402053283,-2.2555874020532825,-0.5783557441162263
MSFT,2023-04-14,2023-04-25,2023-05-12,285.0,285.0,short,0.9428038753104321,0.05719612468956792,9.675,7.9750000000000005,4.550000000000001,12.7,17.650000000000002,9.433382891850304,8.216617108149698,0.46553071434275906
NFLX,2023-04-14,2023-04-25,2023-05-19,340.0,340.0,short,0.07933181170712997,0.92066818829287,20.525,20.625,4.775,22.025,41.15,41.216581893213124,-0.06658189321312591,-0.0016180289966737768
